"gene_id" "locusName" "Description" "colors"
"Manes.09G185500.v8.1" "Manes.09G185500" NA "turquoise"
"Manes.09G186101.v8.1" "Manes.09G186101" NA "turquoise"
"Manes.09G186300.v8.1" "Manes.09G186300" NA "turquoise"
"Manes.09G186800.v8.1" "Manes.09G186800" NA "turquoise"
"Manes.09G187900.v8.1" "Manes.09G187900" "(1 of 8) KOG4660 - Protein Mei2, essential for commitment to meiosis, and related proteins" "turquoise"
"Manes.09G188000.v8.1" "Manes.09G188000" "(1 of 2) K09602 - ubiquitin thioesterase protein OTUB1 [EC:3.4.19.12] (OTUB1)" "turquoise"
"Manes.09G188200.v8.1" "Manes.09G188200" "(1 of 2) K01880 - glycyl-tRNA synthetase (GARS, glyS1)" "turquoise"
"Manes.10G002640.v8.1" "Manes.10G002640" "(1 of 5) PTHR24282//PTHR24282:SF36 - CYTOCHROME P450 FAMILY MEMBER // CYTOCHROME P450 714A1-RELATED" "turquoise"
"Manes.10G004100.v8.1" "Manes.10G004100" NA "turquoise"
"Manes.10G003500.v8.1" "Manes.10G003500" NA "turquoise"
"Manes.10G003100.v8.1" "Manes.10G003100" "(1 of 1) K15710 - E3 ubiquitin-protein ligase SHPRH [EC:3.6.4.- 6.3.2.19] (SHPRH)" "turquoise"
"Manes.10G002000.v8.1" "Manes.10G002000" "(1 of 2) K08876 - SCY1-like protein 1 (SCYL1)" "turquoise"
"Manes.10G001000.v8.1" "Manes.10G001000" "(1 of 1) 2.5.1.15//2.7.6.3 - Dihydropteroate synthase / Dihydropteroate pyrophosphorylase // 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / 7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase" "turquoise"
"Manes.10G004700.v8.1" "Manes.10G004700" "(1 of 2) PTHR30540//PTHR30540:SF6 - OSMOTIC STRESS POTASSIUM TRANSPORTER // POTASSIUM TRANSPORTER 2" "turquoise"
"Manes.10G005400.v8.1" "Manes.10G005400" NA "turquoise"
"Manes.10G006600.v8.1" "Manes.10G006600" "(1 of 2) K15296 - alpha-soluble NSF attachment protein (NAPA, SNAPA, SEC17)" "turquoise"
"Manes.10G007100.v8.1" "Manes.10G007100" NA "turquoise"
"Manes.10G007200.v8.1" "Manes.10G007200" NA "turquoise"
"Manes.10G007500.v8.1" "Manes.10G007500" NA "turquoise"
"Manes.10G007800.v8.1" "Manes.10G007800" "(1 of 1) PTHR10799:SF660 - SNF2 DOMAIN-CONTAINING PROTEIN CLASSY 1-RELATED" "turquoise"
"Manes.10G008400.v8.1" "Manes.10G008400" NA "turquoise"
"Manes.10G008700.v8.1" "Manes.10G008700" "(1 of 2) 3.2.1.96 - Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase / Endo-beta-N-acetylglucosaminidase" "turquoise"
"Manes.10G009200.v8.1" "Manes.10G009200" NA "turquoise"
"Manes.10G009600.v8.1" "Manes.10G009600" "(1 of 2) PTHR27001//PTHR27001:SF60 - FAMILY NOT NAMED // LEUCINE-RICH REPEAT PROTEIN KINASE-LIKE PROTEIN-RELATED" "turquoise"
"Manes.10G010500.v8.1" "Manes.10G010500" "(1 of 2) K04646 - clathrin heavy chain (CLTC)" "turquoise"
"Manes.10G010900.v8.1" "Manes.10G010900" "(1 of 4) PTHR32285:SF10 - PROTEIN ESKIMO 1" "turquoise"
"Manes.10G011000.v8.1" "Manes.10G011000" "(1 of 4) PTHR32285//PTHR32285:SF10 - FAMILY NOT NAMED // PROTEIN ESKIMO 1" "turquoise"
"Manes.10G011200.v8.1" "Manes.10G011200" "(1 of 2) K08518 - syntaxin-binding protein 5 (STXBP5)" "turquoise"
"Manes.10G013500.v8.1" "Manes.10G013500" NA "turquoise"
"Manes.10G014200.v8.1" "Manes.10G014200" NA "turquoise"
"Manes.10G015300.v8.1" "Manes.10G015300" NA "turquoise"
"Manes.10G016100.v8.1" "Manes.10G016100" "(1 of 3) K02941 - large subunit ribosomal protein LP0 (RP-LP0, RPLP0)" "turquoise"
"Manes.10G016600.v8.1" "Manes.10G016600" "(1 of 4) PTHR19139:SF169 - AQUAPORIN PIP1-4-RELATED" "turquoise"
"Manes.10G018000.v8.1" "Manes.10G018000" NA "turquoise"
"Manes.10G018600.v8.1" "Manes.10G018600" "(1 of 10) K09377 - cysteine and glycine-rich protein (CSRP)" "turquoise"
"Manes.10G022100.v8.1" "Manes.10G022100" "(1 of 1) PTHR31669:SF42 - PROTEIN FAR1-RELATED SEQUENCE 4" "turquoise"
"Manes.10G022450.v8.1" "Manes.10G022450" "(1 of 10) PTHR23155//PTHR23155:SF634 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G022675.v8.1" "Manes.10G022675" "(1 of 5) 6.3.2.17 - Tetrahydrofolate synthase / Tetrahydrofolylpolyglutamate synthase" "turquoise"
"Manes.10G023200.v8.1" "Manes.10G023200" "(1 of 10) PTHR23155//PTHR23155:SF634 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G024700.v8.1" "Manes.10G024700" "(1 of 2) PTHR12822:SF5 - INTEGRAL MEMBRANE YIP1 FAMILY PROTEIN" "turquoise"
"Manes.10G026400.v8.1" "Manes.10G026400" "(1 of 4) PTHR13832:SF219 - PROTEIN PHOSPHATASE 2C 3-RELATED" "turquoise"
"Manes.10G026600.v8.1" "Manes.10G026600" "(1 of 7) 1.1.1.206//1.1.1.236 - Tropinone reductase I / Tropinone reductase // Tropinone reductase II / Tropinone reductase" "turquoise"
"Manes.10G026800.v8.1" "Manes.10G026800" "(1 of 7) 1.1.1.236 - Tropinone reductase II / Tropinone reductase" "turquoise"
"Manes.10G027800.v8.1" "Manes.10G027800" "(1 of 4) PTHR12537:SF78 - PUMILIO HOMOLOG 1-RELATED" "turquoise"
"Manes.10G028300.v8.1" "Manes.10G028300" NA "turquoise"
"Manes.10G029100.v8.1" "Manes.10G029100" "(1 of 1) 2.1.1.166 - 23S rRNA (uridine(2552)-2'-O)-methyltransferase / Um2552 methyltransferase" "turquoise"
"Manes.10G029300.v8.1" "Manes.10G029300" NA "turquoise"
"Manes.10G029400.v8.1" "Manes.10G029400" "(1 of 5) PTHR31867//PTHR31867:SF9 - FAMILY NOT NAMED // EXPANSIN-A6" "turquoise"
"Manes.10G029532.v8.1" "Manes.10G029532" NA "turquoise"
"Manes.10G029600.v8.1" "Manes.10G029600" "(1 of 1) PTHR23147//PTHR23147:SF13 - SERINE/ARGININE RICH SPLICING FACTOR // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G030300.v8.1" "Manes.10G030300" NA "turquoise"
"Manes.10G030900.v8.1" "Manes.10G030900" "(1 of 2) 1.3.1.93 - Very-long-chain enoyl-CoA reductase" "turquoise"
"Manes.10G031000.v8.1" "Manes.10G031000" "(1 of 4) K02891 - large subunit ribosomal protein L22e (RP-L22e, RPL22)" "turquoise"
"Manes.10G031800.v8.1" "Manes.10G031800" NA "turquoise"
"Manes.10G032600.v8.1" "Manes.10G032600" "(1 of 1) PTHR11946:SF89 - METHIONYL-TRNA SYNTHETASE" "turquoise"
"Manes.10G032800.v8.1" "Manes.10G032800" "(1 of 6) K09250 - cellular nucleic acid-binding protein (CNBP)" "turquoise"
"Manes.10G033600.v8.1" "Manes.10G033600" "(1 of 6) PTHR11913//PTHR11913:SF22 - COFILIN-RELATED // ACTIN-DEPOLYMERIZING FACTOR 1-RELATED" "turquoise"
"Manes.10G034300.v8.1" "Manes.10G034300" "(1 of 2) PTHR24073:SF541 - RAS-RELATED PROTEIN RABE1A" "turquoise"
"Manes.10G034700.v8.1" "Manes.10G034700" NA "turquoise"
"Manes.10G035800.v8.1" "Manes.10G035800" "(1 of 3) K02221 - YggT family protein (yggT)" "turquoise"
"Manes.10G035000.v8.1" "Manes.10G035000" "(1 of 13) K09873 - aquaporin TIP (TIP)" "turquoise"
"Manes.10G037800.v8.1" "Manes.10G037800" "(1 of 2) PTHR10159//PTHR10159:SF339 - DUAL SPECIFICITY PROTEIN PHOSPHATASE // PROTEIN-TYROSINE-PHOSPHATASE MKP1" "turquoise"
"Manes.10G036800.v8.1" "Manes.10G036800" NA "turquoise"
"Manes.10G036400.v8.1" "Manes.10G036400" NA "turquoise"
"Manes.10G038300.v8.1" "Manes.10G038300" "(1 of 3) PTHR24177:SF10 - ANKYRIN REPEAT-CONTAINING PROTEIN" "turquoise"
"Manes.10G038600.v8.1" "Manes.10G038600" NA "turquoise"
"Manes.10G039000.v8.1" "Manes.10G039000" "(1 of 2) PTHR19241:SF180 - ABC TRANSPORTER G FAMILY MEMBER 1-RELATED" "turquoise"
"Manes.10G039400.v8.1" "Manes.10G039400" NA "turquoise"
"Manes.10G040000.v8.1" "Manes.10G040000" "(1 of 2) PTHR13832:SF358 - PROTEIN PHOSPHATASE 2C 38-RELATED" "turquoise"
"Manes.10G040300.v8.1" "Manes.10G040300" "(1 of 3) PTHR27001:SF211 - PROTEIN KINASE FAMILY PROTEIN" "turquoise"
"Manes.10G041100.v8.1" "Manes.10G041100" "(1 of 3) PTHR32467//PTHR32467:SF29 - FAMILY NOT NAMED // ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR RAP2-7" "turquoise"
"Manes.10G041400.v8.1" "Manes.10G041400" "(1 of 1) PTHR11825//PTHR11825:SF24 - SUBGROUP IIII AMINOTRANSFERASE // D-AMINOACID AMINOTRANSFERASE-LIKE PLP-DEPENDENT ENZYMES SUPERFAMILY PROTEIN" "turquoise"
"Manes.10G041700.v8.1" "Manes.10G041700" NA "turquoise"
"Manes.10G042000.v8.1" "Manes.10G042000" NA "turquoise"
"Manes.10G041900.v8.1" "Manes.10G041900" NA "turquoise"
"Manes.10G042100.v8.1" "Manes.10G042100" NA "turquoise"
"Manes.10G042700.v8.1" "Manes.10G042700" NA "turquoise"
"Manes.10G042800.v8.1" "Manes.10G042800" NA "turquoise"
"Manes.10G043200.v8.1" "Manes.10G043200" NA "turquoise"
"Manes.10G044300.v8.1" "Manes.10G044300" NA "turquoise"
"Manes.10G046400.v8.1" "Manes.10G046400" NA "turquoise"
"Manes.10G047300.v8.1" "Manes.10G047300" "(1 of 1) PF00092//PF14624//PF17123 - von Willebrand factor type A domain (VWA) // VWA / Hh  protein intein-like (Vwaint) // RING-like zinc finger (zf-RING_11)" "turquoise"
"Manes.10G048700.v8.1" "Manes.10G048700" "(1 of 1) PTHR19241//PTHR19241:SF304 - ATP-BINDING CASSETTE TRANSPORTER // ABC TRANSPORTER G FAMILY MEMBER 24" "turquoise"
"Manes.10G049000.v8.1" "Manes.10G049000" "(1 of 2) PTHR12537//PTHR12537:SF71 - RNA BINDING PROTEIN PUMILIO-RELATED // PUMILIO HOMOLOG 4" "turquoise"
"Manes.10G049200.v8.1" "Manes.10G049200" "(1 of 1) PTHR10438//PTHR10438:SF297 - THIOREDOXIN // THIOREDOXIN-LIKE 3-2, CHLOROPLASTIC" "turquoise"
"Manes.10G050300.v8.1" "Manes.10G050300" "(1 of 1) PTHR10742:SF260 - LYSINE-SPECIFIC HISTONE DEMETHYLASE 1 HOMOLOG 3" "turquoise"
"Manes.10G050700.v8.1" "Manes.10G050700" "(1 of 4) K16298 - serine carboxypeptidase-like clade IV [EC:3.4.16.-] (SCPL-IV)" "turquoise"
"Manes.10G051200.v8.1" "Manes.10G051200" "(1 of 2) K12885 - heterogeneous nuclear ribonucleoprotein G (RBMX, HNRNPG)" "turquoise"
"Manes.10G052800.v8.1" "Manes.10G052800" "(1 of 6) PTHR21493//PTHR21493:SF131 - CGI-141-RELATED/LIPASE CONTAINING PROTEIN // ALPHA/BETA-HYDROLASES" "turquoise"
"Manes.10G052850.v8.1" "Manes.10G052850" NA "turquoise"
"Manes.10G054100.v8.1" "Manes.10G054100" "(1 of 1) PTHR23151:SF56 - DIHYDROLIPOYLLYSINE-RESIDUE ACETYLTRANSFERASE COMPONENT 1 OF PYRUVATE DEHYDROGENASE COMPLEX, MITOCHONDRIAL" "turquoise"
"Manes.10G054600.v8.1" "Manes.10G054600" NA "turquoise"
"Manes.10G054800.v8.1" "Manes.10G054800" NA "turquoise"
"Manes.10G055200.v8.1" "Manes.10G055200" "(1 of 2) PTHR10359//PTHR10359:SF28 - A/G-SPECIFIC ADENINE GLYCOSYLASE/ENDONUCLEASE III // TRANSCRIPTIONAL ACTIVATOR DEMETER" "turquoise"
"Manes.10G055500.v8.1" "Manes.10G055500" "(1 of 2) PTHR19919//PTHR19919:SF2 - WD REPEAT CONTAINING PROTEIN // PROTEIN TRANSPARENT TESTA GLABRA 1" "turquoise"
"Manes.10G055600.v8.1" "Manes.10G055600" NA "turquoise"
"Manes.10G055800.v8.1" "Manes.10G055800" "(1 of 3) 6.1.1.6 - Lysine--tRNA ligase / Lysyl-tRNA synthetase" "turquoise"
"Manes.10G057400.v8.1" "Manes.10G057400" "(1 of 1) PTHR14898//PTHR14898:SF2 - ENHANCER OF POLYCOMB // ENHANCER OF POLYCOMB-LIKE TRANSCRIPTION FACTOR PROTEIN" "turquoise"
"Manes.10G057500.v8.1" "Manes.10G057500" NA "turquoise"
"Manes.10G057800.v8.1" "Manes.10G057800" "(1 of 1) PTHR22835//PTHR22835:SF224 - ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G058900.v8.1" "Manes.10G058900" "(1 of 4) K02962 - small subunit ribosomal protein S17e (RP-S17e, RPS17)" "turquoise"
"Manes.10G060200.v8.1" "Manes.10G060200" "(1 of 31) PF02485 - Core-2/I-Branching enzyme (Branch)" "turquoise"
"Manes.10G060400.v8.1" "Manes.10G060400" NA "turquoise"
"Manes.10G060700.v8.1" "Manes.10G060700" NA "turquoise"
"Manes.10G061400.v8.1" "Manes.10G061400" "(1 of 1) PTHR31096//PTHR31096:SF14 - FAMILY NOT NAMED // ACT DOMAIN-CONTAINING PROTEIN" "turquoise"
"Manes.10G062100.v8.1" "Manes.10G062100" "(1 of 1) K10743 - ribonuclease H2 subunit A (RNASEH2A)" "turquoise"
"Manes.10G062400.v8.1" "Manes.10G062400" "(1 of 7) K08511 - vesicle-associated membrane protein 72 (ATVAMP72)" "turquoise"
"Manes.10G062800.v8.1" "Manes.10G062800" NA "turquoise"
"Manes.10G064500.v8.1" "Manes.10G064500" NA "turquoise"
"Manes.10G064700.v8.1" "Manes.10G064700" "(1 of 4) K02962 - small subunit ribosomal protein S17e (RP-S17e, RPS17)" "turquoise"
"Manes.10G065100.v8.1" "Manes.10G065100" "(1 of 1) PTHR31060:SF8 - F8M12.23 PROTEIN" "turquoise"
"Manes.10G065500.v8.1" "Manes.10G065500" "(1 of 1) K17906 - autophagy-related protein 2 (ATG2)" "turquoise"
"Manes.10G067101.v8.1" "Manes.10G067101" "(1 of 1) PTHR16193//PTHR16193:SF0 - UNCHARACTERIZED // TETRATRICOPEPTIDE REPEAT PROTEIN 27" "turquoise"
"Manes.10G067400.v8.1" "Manes.10G067400" NA "turquoise"
"Manes.10G065901.v8.1" "Manes.10G065901" NA "turquoise"
"Manes.10G068000.v8.1" "Manes.10G068000" NA "turquoise"
"Manes.10G069300.v8.1" "Manes.10G069300" "(1 of 2) PTHR32263:SF4 - INACTIVE POLY [ADP-RIBOSE] POLYMERASE RCD1-RELATED" "turquoise"
"Manes.10G071500.v8.1" "Manes.10G071500" "(1 of 2) PTHR12560//PTHR12560:SF12 - LONGEVITY ASSURANCE FACTOR 1  LAG1 // LAG1 LONGEVITY ASSURANCE HOMOLOG 2" "turquoise"
"Manes.10G072200.v8.1" "Manes.10G072200" "(1 of 5) K14802 - phospholipid-transporting ATPase [EC:3.6.3.1] (DRS2, ATP8A)" "turquoise"
"Manes.10G072300.v8.1" "Manes.10G072300" "(1 of 1) KOG2665 - Predicted FAD-dependent oxidoreductase" "turquoise"
"Manes.10G072400.v8.1" "Manes.10G072400" "(1 of 1) PTHR24314//PTHR24314:SF6 - FAMILY NOT NAMED // CHLOROPHYLL(IDE) B REDUCTASE NOL, CHLOROPLASTIC" "turquoise"
"Manes.10G070600.v8.1" "Manes.10G070600" NA "turquoise"
"Manes.10G072700.v8.1" "Manes.10G072700" "(1 of 4) PTHR13844//PTHR13844:SF8 - BRG-1 ASSOCIATED FACTOR 60  BAF60 // EXPRESSED PROTEIN" "turquoise"
"Manes.10G075600.v8.1" "Manes.10G075600" "(1 of 1) K17872 - NADH:ubiquinone reductase (non-electrogenic) (ndh2)" "turquoise"
"Manes.10G075803.v8.1" "Manes.10G075803" NA "turquoise"
"Manes.10G074100.v8.1" "Manes.10G074100" "(1 of 2) PTHR11711//PTHR11711:SF184 - ADP RIBOSYLATION FACTOR-RELATED // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G073700.v8.1" "Manes.10G073700" NA "turquoise"
"Manes.10G076300.v8.1" "Manes.10G076300" NA "turquoise"
"Manes.10G077600.v8.1" "Manes.10G077600" "(1 of 1) K14320 - aladin (AAAS)" "turquoise"
"Manes.10G079900.v8.1" "Manes.10G079900" "(1 of 2) PTHR10381//PTHR10381:SF18 - ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G082600.v8.1" "Manes.10G082600" "(1 of 1) KOG3970 - Predicted E3 ubiquitin ligase" "turquoise"
"Manes.10G082700.v8.1" "Manes.10G082700" "(1 of 1569) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase" "turquoise"
"Manes.10G083455.v8.1" "Manes.10G083455" "(1 of 4) PTHR21717//PTHR21717:SF27 - TELOMERIC REPEAT BINDING PROTEIN // TELOMERE REPEAT-BINDING FACTOR 2-RELATED" "turquoise"
"Manes.10G083600.v8.1" "Manes.10G083600" "(1 of 6) K07955 - ADP-ribosylation factor-like protein 8 (ARL8)" "turquoise"
"Manes.10G081500.v8.1" "Manes.10G081500" "(1 of 1) K03511 - DNA polymerase kappa (POLK)" "turquoise"
"Manes.10G082400.v8.1" "Manes.10G082400" "(1 of 4) PTHR21717//PTHR21717:SF27 - TELOMERIC REPEAT BINDING PROTEIN // TELOMERE REPEAT-BINDING FACTOR 2-RELATED" "turquoise"
"Manes.10G084800.v8.1" "Manes.10G084800" NA "turquoise"
"Manes.10G086900.v8.1" "Manes.10G086900" "(1 of 1) PTHR11864//PTHR11864:SF21 - PRE-MRNA-PROCESSING PROTEIN PRP40 // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G087100.v8.1" "Manes.10G087100" NA "turquoise"
"Manes.10G093200.v8.1" "Manes.10G093200" "(1 of 2) PTHR22880//PTHR22880:SF147 - FALZ-RELATED BROMODOMAIN-CONTAINING PROTEINS // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G094333.v8.1" "Manes.10G094333" "(1 of 2) PTHR22880//PTHR22880:SF147 - FALZ-RELATED BROMODOMAIN-CONTAINING PROTEINS // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G096900.v8.1" "Manes.10G096900" NA "turquoise"
"Manes.10G097300.v8.1" "Manes.10G097300" "(1 of 3) K17065 - dynamin 1-like protein (DNM1L)" "turquoise"
"Manes.10G097500.v8.1" "Manes.10G097500" "(1 of 1) PTHR10288:SF173 - RNA-BINDING KH DOMAIN-CONTAINING PROTEIN" "turquoise"
"Manes.10G098500.v8.1" "Manes.10G098500" NA "turquoise"
"Manes.10G099401.v8.1" "Manes.10G099401" NA "turquoise"
"Manes.10G099700.v8.1" "Manes.10G099700" NA "turquoise"
"Manes.10G100025.v8.1" "Manes.10G100025" NA "turquoise"
"Manes.10G101177.v8.1" "Manes.10G101177" NA "turquoise"
"Manes.10G102700.v8.1" "Manes.10G102700" "(1 of 2) KOG2983 - Uncharacterized conserved protein" "turquoise"
"Manes.10G108000.v8.1" "Manes.10G108000" "(1 of 3) PTHR11785:SF379 - CATIONIC AMINO ACID TRANSPORTER 4, VACUOLAR" "turquoise"
"Manes.10G111800.v8.1" "Manes.10G111800" "(1 of 1) PTHR12620//PTHR12620:SF4 - U2 SNRNP AUXILIARY FACTOR, SMALL SUBUNIT // ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 5" "turquoise"
"Manes.10G113500.v8.1" "Manes.10G113500" "(1 of 5) PTHR11260//PTHR11260:SF327 - GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G112500.v8.1" "Manes.10G112500" "(1 of 4) PTHR24361:SF385 - MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1-RELATED" "turquoise"
"Manes.10G110400.v8.1" "Manes.10G110400" NA "turquoise"
"Manes.10G110600.v8.1" "Manes.10G110600" "(1 of 1) PTHR31669//PTHR31669:SF34 - FAMILY NOT NAMED // PROTEIN FAR1-RELATED SEQUENCE 11" "turquoise"
"Manes.10G114062.v8.1" "Manes.10G114062" "(1 of 4) PTHR23155//PTHR23155:SF643 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G114400.v8.1" "Manes.10G114400" "(1 of 2) PF00931//PF07714//PF13855 - NB-ARC domain (NB-ARC) // Protein tyrosine kinase (Pkinase_Tyr) // Leucine rich repeat (LRR_8)" "turquoise"
"Manes.10G116100.v8.1" "Manes.10G116100" NA "turquoise"
"Manes.10G117100.v8.1" "Manes.10G117100" "(1 of 38) PF00564 - PB1 domain (PB1)" "turquoise"
"Manes.10G117400.v8.1" "Manes.10G117400" NA "turquoise"
"Manes.10G118000.v8.1" "Manes.10G118000" "(1 of 9) K02925 - large subunit ribosomal protein L3e (RP-L3e, RPL3)" "turquoise"
"Manes.10G119700.v8.1" "Manes.10G119700" "(1 of 1) K18995 - ATP-dependent RNA helicase DHX29 [EC:3.6.4.13] (DHX29)" "turquoise"
"Manes.10G119902.v8.1" "Manes.10G119902" "(1 of 4) KOG2358 - NifU-like domain-containing proteins" "turquoise"
"Manes.10G120200.v8.1" "Manes.10G120200" "(1 of 11) KOG2922 - Uncharacterized conserved protein" "turquoise"
"Manes.10G123912.v8.1" "Manes.10G123912" "(1 of 1) PTHR18896//PTHR18896:SF71 - PHOSPHOLIPASE D // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G123000.v8.1" "Manes.10G123000" "(1 of 12) K14498 - serine/threonine-protein kinase SRK2 (SNRK2)" "turquoise"
"Manes.10G122500.v8.1" "Manes.10G122500" "(1 of 3) PTHR10666:SF150 - POLYUBIQUITIN 3" "turquoise"
"Manes.10G122200.v8.1" "Manes.10G122200" NA "turquoise"
"Manes.10G121900.v8.1" "Manes.10G121900" "(1 of 1) K11718 - UDP-glucose:glycoprotein glucosyltransferase (HUGT)" "turquoise"
"Manes.10G127500.v8.1" "Manes.10G127500" "(1 of 46) PF13676 - TIR domain (TIR_2)" "turquoise"
"Manes.10G128500.v8.1" "Manes.10G128500" "(1 of 25) PF00190 - Cupin (Cupin_1)" "turquoise"
"Manes.10G129000.v8.1" "Manes.10G129000" "(1 of 2) PTHR23086//PTHR23086:SF25 - PHOSPHATIDYLINOSITOL-4-PHOSPHATE 5-KINASE // PHOSPHATIDYLINOSITOL 4-PHOSPHATE 5-KINASE 7-RELATED" "turquoise"
"Manes.10G129700.v8.1" "Manes.10G129700" NA "turquoise"
"Manes.10G130700.v8.1" "Manes.10G130700" NA "turquoise"
"Manes.10G131400.v8.1" "Manes.10G131400" "(1 of 1) PTHR11926:SF207 - UDP-GLYCOSYLTRANSFERASE SUPERFAMILY PROTEIN" "turquoise"
"Manes.10G131600.v8.1" "Manes.10G131600" "(1 of 6) PTHR21596:SF12 - PROTEIN SUPPRESSOR OF GENE SILENCING 3" "turquoise"
"Manes.10G131800.v8.1" "Manes.10G131800" "(1 of 3) PTHR21229//PTHR21229:SF28 - LUNG SEVEN TRANSMEMBRANE RECEPTOR // LUNG SEVEN TRANSMEMBRANE RECEPTOR-LIKE PROTEIN" "turquoise"
"Manes.10G132600.v8.1" "Manes.10G132600" "(1 of 2) PTHR24361//PTHR24361:SF409 - MITOGEN-ACTIVATED KINASE KINASE KINASE // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G133674.v8.1" "Manes.10G133674" NA "turquoise"
"Manes.10G134203.v8.1" "Manes.10G134203" "(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G135300.v8.1" "Manes.10G135300" "(1 of 8) 4.2.1.91 - Arogenate dehydratase / Carboxycyclohexadienyl dehydratase" "turquoise"
"Manes.10G135700.v8.1" "Manes.10G135700" "(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G135900.v8.1" "Manes.10G135900" "(1 of 23) PF00931//PF13855 - NB-ARC domain (NB-ARC) // Leucine rich repeat (LRR_8)" "turquoise"
"Manes.10G136100.v8.1" "Manes.10G136100" NA "turquoise"
"Manes.10G136300.v8.1" "Manes.10G136300" "(1 of 2) K02863 - large subunit ribosomal protein L1 (RP-L1, MRPL1, rplA)" "turquoise"
"Manes.10G136716.v8.1" "Manes.10G136716" "(1 of 85) PF00560//PF08263//PF13855 - Leucine Rich Repeat (LRR_1) // Leucine rich repeat N-terminal domain (LRRNT_2) // Leucine rich repeat (LRR_8)" "turquoise"
"Manes.10G137493.v8.1" "Manes.10G137493" "(1 of 14) PF02902 - Ulp1 protease family, C-terminal catalytic domain (Peptidase_C48)" "turquoise"
"Manes.10G137900.v8.1" "Manes.10G137900" "(1 of 6) PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G138200.v8.1" "Manes.10G138200" "(1 of 1) PF00931//PF02902 - NB-ARC domain (NB-ARC) // Ulp1 protease family, C-terminal catalytic domain (Peptidase_C48)" "turquoise"
"Manes.10G138300.v8.1" "Manes.10G138300" NA "turquoise"
"Manes.10G140200.v8.1" "Manes.10G140200" NA "turquoise"
"Manes.10G140300.v8.1" "Manes.10G140300" NA "turquoise"
"Manes.10G140400.v8.1" "Manes.10G140400" NA "turquoise"
"Manes.10G140700.v8.1" "Manes.10G140700" "(1 of 1) PTHR10615//PTHR10615:SF35 - HISTONE ACETYLTRANSFERASE // ENOKI MUSHROOM" "turquoise"
"Manes.10G141000.v8.1" "Manes.10G141000" NA "turquoise"
"Manes.10G141400.v8.1" "Manes.10G141400" "(1 of 3) PTHR12632//PTHR12632:SF15 - TRANSCRIPTION FACTOR NF-Y ALPHA-RELATED // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G142700.v8.1" "Manes.10G142700" "(1 of 1) PTHR12202//PTHR12202:SF0 - UNCHARACTERIZED // PROTEIN F58B3.4" "turquoise"
"Manes.10G144000.v8.1" "Manes.10G144000" "(1 of 18) PTHR23155//PTHR23155:SF609 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G145400.v8.1" "Manes.10G145400" NA "turquoise"
"Manes.10G150700.v8.1" "Manes.10G150700" "(1 of 1) PTHR13789//PTHR13789:SF227 - MONOOXYGENASE // SUBFAMILY NOT NAMED" "turquoise"
"Manes.10G153800.v8.1" "Manes.10G153800" "(1 of 1) PTHR12197:SF138 - SET AND MYND DOMAIN-CONTAINING PROTEIN DDB_G0292140" "turquoise"
"Manes.11G000300.v8.1" "Manes.11G000300" NA "turquoise"
