"Abbreviation","Best-hit-arabi-defline","bicor","class","colors","cor_direction","Description","gene_id","gene_metabolite","GO","GODescription","interaction_class","name","Pathways","Pathways_Desc","selected","shared name","source_class","sourceNode","target_class","targetNode"
"","RabGAP/TBC domain-containing protein",,"NA","purple","","(1 of 2) PTHR22957:SF34 - TBC1 DOMAIN FAMILY MEMBER 25","Manes.14G115300.v8.1","gene","","","","Manes.14G115300","","","false","Manes.14G115300","","",,""
"","(1 of 2) PTHR33782:SF1 - BY GENSCAN AND GENEFINDER-RELATED",,"NA","purple","","","Manes.14G135300.v8.1","gene","","","","Manes.14G135300","","","false","Manes.14G135300","","",,""
"","phosphate starvation-induced gene 3",,"NA","purple","","(1 of 3) 3.6.3.20 - Glycerol-3-phosphate-transporting ATPase","Manes.14G035900.v8.1","gene","GO:0005215 GO:0006810 GO:0016021 GO:0055085","transporter activity; transport; transmembrane transport","","Manes.14G035900","","","false","Manes.14G035900","","",,""
"","GRAS family transcription factor",,"NA","purple","","(1 of 1) PTHR31636//PTHR31636:SF53 - FAMILY NOT NAMED // SCARECROW-LIKE PROTEIN 15","Manes.13G137100.v8.1","gene","","","","Manes.13G137100","","","false","Manes.13G137100","","",,""
"","",,"NA","purple","","(1 of 12) PF07939 - Protein of unknown function (DUF1685) (DUF1685)","Manes.13G124400.v8.1","gene","","","","Manes.13G124400","","","false","Manes.13G124400","","",,""
"","",,"NA","purple","","(1 of 1) PTHR23257:SF353 - KINASE-LIKE PROTEIN","Manes.13G030800.v8.1","gene","GO:0004672 GO:0004713 GO:0005524 GO:0006468","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation","","Manes.13G030800","","","false","Manes.13G030800","","",,""
"","(1 of 11) PF14364 - Domain of unknown function (DUF4408) (DUF4408)",,"NA","purple","","(1 of 13) PF14364 - Domain of unknown function (DUF4408) (DUF4408)","Manes.13G008500.v8.1","gene","","","","Manes.13G008500","","","false","Manes.13G008500","","",,""
"","",,"NA","purple","","","Manes.12G127600.v8.1","gene","","","","Manes.12G127600","","","false","Manes.12G127600","","",,""
"","",,"NA","purple","","(1 of 1) KOG2681 - Metal-dependent phosphohydrolase","Manes.12G029366.v8.1","gene","","","","Manes.12G029366","","","false","Manes.12G029366","","",,""
"","DC1 domain-containing protein",,"NA","purple","","(1 of 5) K17609 - nucleoredoxin [EC:1.8.1.8] (NXN)","Manes.12G027800.v8.1","gene","GO:0016209 GO:0016491 GO:0047134 GO:0055114","antioxidant activity; oxidoreductase activity; protein-disulfide reductase (NAD(P)H) activity","","Manes.12G027800","","","false","Manes.12G027800","","",,""
"","",,"NA","purple","","(1 of 5) K17609 - nucleoredoxin [EC:1.8.1.8] (NXN)","Manes.12G027700.v8.1","gene","GO:0016209 GO:0016491 GO:0047134 GO:0055114","antioxidant activity; oxidoreductase activity; protein-disulfide reductase (NAD(P)H) activity","","Manes.12G027700","","","false","Manes.12G027700","","",,""
"","glucose-6-phosphate dehydrogenase 2",,"NA","purple","","(1 of 2) PTHR23429//PTHR23429:SF3 - GLUCOSE-6-PHOSPHATE 1-DEHYDROGENASE  G6PD // GLUCOSE-6-PHOSPHATE 1-DEHYDROGENASE 2; CHLOROPLASTIC-RELATED","Manes.12G007900.v8.1","gene","GO:0004345 GO:0006006 GO:0050661 GO:0055114","glucose-6-phosphate dehydrogenase activity; glucose metabolic process; NADP binding","","Manes.12G007900","PENTOSE-P-PWY; OXIDATIVEPENT-PWY","pentose phosphate pathway; pentose phosphate pathway (oxidative branch)","false","Manes.12G007900","","",,""
"","(1 of 11) PF14364 - Domain of unknown function (DUF4408) (DUF4408)",,"NA","purple","","(1 of 13) PF14364 - Domain of unknown function (DUF4408) (DUF4408)","Manes.11G085200.v8.1","gene","","","","Manes.11G085200","","","false","Manes.11G085200","","",,""
"","",,"NA","purple","","","Manes.11G060900.v8.1","gene","","","","Manes.11G060900","","","false","Manes.11G060900","","",,""
"","",,"NA","purple","","(1 of 6) PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","Manes.10G141900.v8.1","gene","GO:0043531","ADP binding","","Manes.10G141900","","","false","Manes.10G141900","","",,""
"","",,"NA","purple","","(1 of 6) PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","Manes.10G141651.v8.1","gene","GO:0043531","ADP binding","","Manes.10G141651","","","false","Manes.10G141651","","",,""
"","",,"NA","purple","","(1 of 36) PTHR11017//PTHR11017:SF162 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","Manes.10G088500.v8.1","gene","GO:0005515 GO:0007165 GO:0043531","protein binding; signal transduction; ADP binding","","Manes.10G088500","","","false","Manes.10G088500","","",,""
"","Vacuolar import/degradation",,"NA","purple","","(1 of 3) PF08553 - VID27 cytoplasmic protein (VID27)","Manes.10G056200.v8.1","gene","","","","Manes.10G056200","","","false","Manes.10G056200","","",,""
"","OBF-binding protein 3",,"NA","purple","","(1 of 2) PTHR31992:SF26 - DOF ZINC FINGER PROTEIN DOF2.4","Manes.10G031200.v8.1","gene","GO:0003677 GO:0006355","DNA binding; regulation of DNA-templated transcription","","Manes.10G031200","","","false","Manes.10G031200","","",,""
"","",,"NA","purple","","","Manes.10G020800.v8.1","gene","","","","Manes.10G020800","","","false","Manes.10G020800","","",,""
"","",,"NA","purple","","(1 of 10) PTHR11527//PTHR11527:SF152 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY // SUBFAMILY NOT NAMED","Manes.10G020100.v8.1","gene","","","","Manes.10G020100","","","false","Manes.10G020100","","",,""
"","F-box family protein",,"NA","purple","","(1 of 6) PTHR32278//PTHR32278:SF6 - FAMILY NOT NAMED // F-BOX PROTEIN PP2-B1-RELATED","Manes.09G183100.v8.1","gene","GO:0005515","protein binding","","Manes.09G183100","","","false","Manes.09G183100","","",,""
"","",,"NA","purple","","","Manes.09G180600.v8.1","gene","","","","Manes.09G180600","","","false","Manes.09G180600","","",,""
"","",,"NA","purple","","(1 of 2) PTHR32227:SF118 - CARBOHYDRATE-BINDING X8 DOMAIN-CONTAINING PROTEIN","Manes.09G180500.v8.1","gene","GO:0004553 GO:0005975","hydrolase activity","","Manes.09G180500","hydrolyzing O-glycosyl compounds; carbohydrate metabolic process","","false","Manes.09G180500","","",,""
"","Methionine sulfoxide reductase (MSS4-like) family protein",,"NA","purple","","(1 of 4) KOG1727 - Microtubule-binding protein (translationally controlled tumor protein)","Manes.09G170800.v8.1","gene","","","","Manes.09G170800","","","false","Manes.09G170800","","",,""
"","",,"NA","purple","","(1 of 138) KOG0156 - Cytochrome P450 CYP2 subfamily","Manes.09G130200.v8.1","gene","GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114","monooxygenase activity; iron ion binding; oxidoreductase activity","","Manes.09G130200","acting on paired donors","with incorporation or reduction of molecular oxygen; heme binding","false","Manes.09G130200","","",,""
"USP","Adenine nucleotide alpha hydrolases-like superfamily protein",,"NA","purple","","(1 of 46) PF00582 - Universal stress protein family (Usp)","Manes.09G098760.v8.1","gene","GO:0006950","response to stress","","Manes.09G098760","","","false","Manes.09G098760","","",,""
"GST","glutathione S-transferase TAU 8",,"NA","purple","","(1 of 9) PTHR11260//PTHR11260:SF303 - GLUTATHIONE S-TRANSFERASE; GST; SUPERFAMILY; GST DOMAIN CONTAINING // GLUTATHIONE S-TRANSFERASE U1-RELATED","Manes.09G098800.v8.1","gene","GO:0005515","protein binding","","Manes.09G098800","PWY-6842","glutathione-mediated detoxification II","false","Manes.09G098800","","",,""
"","proteasome inhibitor-related",,"NA","purple","","(1 of 1) K06700 - proteasome inhibitor subunit 1 (PI31) (PSMF1)","Manes.09G098300.v8.1","gene","","","","Manes.09G098300","","","false","Manes.09G098300","","",,""
"","",,"NA","purple","","(1 of 4) K02152 - V-type H+-transporting ATPase subunit G (ATPeV1G; ATP6G)","Manes.09G068812.v8.1","gene","GO:0015992 GO:0016471 GO:0016820","vacuolar proton-transporting V-type ATPase complex","","Manes.09G068812","","","false","Manes.09G068812","","",,""
"","heat shock transcription factor A3",,"NA","purple","","(1 of 2) PTHR10015//PTHR10015:SF164 - HEAT SHOCK TRANSCRIPTION FACTOR // HEAT STRESS TRANSCRIPTION FACTOR A-3","Manes.09G059028.v8.1","gene","GO:0003700 GO:0005634 GO:0006355 GO:0043565","DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding","","Manes.09G059028","","","false","Manes.09G059028","","",,""
"","",,"NA","purple","","","Manes.09G042800.v8.1","gene","","","","Manes.09G042800","","","false","Manes.09G042800","","",,""
"","",,"NA","purple","","(1 of 11) PF01612 - 3'-5' exonuclease (DNA_pol_A_exo1)","Manes.08G161900.v8.1","gene","GO:0003676 GO:0006139 GO:0008408","nucleic acid binding; nucleobase-containing compound metabolic process; 3'-5' exonuclease activity","","Manes.08G161900","","","false","Manes.08G161900","","",,""
"","",,"NA","purple","","","Manes.08G145900.v8.1","gene","","","","Manes.08G145900","","","false","Manes.08G145900","","",,""
"","calcium-binding EF hand family protein",,"NA","purple","","","Manes.08G134300.v8.1","gene","GO:0005509","calcium ion binding","","Manes.08G134300","","","false","Manes.08G134300","","",,""
"","Rubber elongation factor protein (REF)",,"NA","purple","","(1 of 5) PF05755 - Rubber elongation factor protein (REF) (REF)","Manes.08G117800.v8.1","gene","","","","Manes.08G117800","","","false","Manes.08G117800","","",,""
"PP2","F-box family protein",,"NA","purple","","(1 of 3) PF00646//PF14299 - F-box domain (F-box) // Phloem protein 2 (PP2)","Manes.08G105600.v8.1","gene","GO:0005515","protein binding","","Manes.08G105600","","","false","Manes.08G105600","","",,""
"","GRAM domain family protein",,"NA","purple","","(1 of 1) PTHR31969//PTHR31969:SF3 - FAMILY NOT NAMED // GEM-LIKE PROTEIN 5","Manes.08G103000.v8.1","gene","","","","Manes.08G103000","","","false","Manes.08G103000","","",,""
"","",,"NA","purple","","(1 of 2) PTHR31241:SF2 - DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 2A-RELATED","Manes.08G096900.v8.1","gene","GO:0003700 GO:0006355","DNA-binding transcription factor activity; regulation of DNA-templated transcription","","Manes.08G096900","","","false","Manes.08G096900","","",,""
"","chaperone protein dnaJ-related",,"NA","purple","","(1 of 1) PTHR15852//PTHR15852:SF20 - FAMILY NOT NAMED // CHAPERONE PROTEIN DNAJ-LIKE PROTEIN","Manes.08G086700.v8.1","gene","","","","Manes.08G086700","","","false","Manes.08G086700","","",,""
"","RING/U-box superfamily protein",,"NA","purple","","(1 of 2) PTHR14155:SF180 - RING/U-BOX DOMAIN-CONTAINING PROTEIN-RELATED","Manes.08G156081.v8.1","gene","GO:0005515 GO:0008270","protein binding; zinc ion binding","","Manes.08G156081","","","false","Manes.08G156081","","",,""
"","heat shock transcription factor A3",,"NA","purple","","(1 of 2) PTHR10015:SF164 - HEAT STRESS TRANSCRIPTION FACTOR A-3","Manes.08G020700.v8.1","gene","GO:0003700 GO:0005634 GO:0006355 GO:0043565","DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding","","Manes.08G020700","","","false","Manes.08G020700","","",,""
"","",,"NA","purple","","(1 of 1) PTHR11260//PTHR11260:SF320 - GLUTATHIONE S-TRANSFERASE; GST; SUPERFAMILY; GST DOMAIN CONTAINING // SUBFAMILY NOT NAMED","Manes.07G105700.v8.1","gene","GO:0005515","protein binding","","Manes.07G105700","","","false","Manes.07G105700","","",,""
"TSP5","tetraspanin6",,"NA","purple","","(1 of 2) PTHR32191:SF1 - TETRASPANIN-5-RELATED","Manes.07G104000.v8.1","gene","GO:0016021","","","Manes.07G104000","","","false","Manes.07G104000","","",,""
"","ubiquitin 4",,"NA","purple","","(1 of 1) PTHR10666//PTHR10666:SF155 - UBIQUITIN // POLYUBIQUITIN 4","Manes.07G019300.v8.1","gene","GO:0005515","protein binding","","Manes.07G019300","","","false","Manes.07G019300","","",,""
"","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein",,"NA","purple","","(1 of 1) PTHR14237//PTHR14237:SF28 - MOLYBDOPTERIN COFACTOR SULFURASE  MOSC // CATALYTIC/ PYRIDOXAL PHOSPHATE BINDING PROTEIN","Manes.06G141900.v8.1","gene","","","","Manes.06G141900","PWY-5963","thio-molybdenum cofactor biosynthesis","false","Manes.06G141900","","",,""
"","",,"NA","purple","","(1 of 7) PF05605//PF14571 - Drought induced 19 protein (Di19); zinc-binding (zf-Di19) // Stress-induced protein Di19; C-terminal (Di19_C)","Manes.06G110900.v8.1","gene","","","","Manes.06G110900","","","false","Manes.06G110900","","",,""
"","ubiquitin-associated (UBA)/TS-N domain-containing protein / octicosapeptide/Phox/Bemp1 (PB1) domain-containing protein",,"NA","purple","","(1 of 2) K17987 - next to BRCA1 gene 1 protein (NBR1)","Manes.06G110100.v8.1","gene","GO:0005515 GO:0008270","protein binding; zinc ion binding","","Manes.06G110100","","","false","Manes.06G110100","","",,""
"","RabGAP/TBC domain-containing protein",,"NA","purple","","(1 of 1) KOG1092 - Ypt/Rab-specific GTPase-activating protein GYP1","Manes.06G048400.v8.1","gene","","","","Manes.06G048400","","","false","Manes.06G048400","","",,""
"GEBG7","",,"NA","purple","","(1 of 3) PTHR32227:SF16 - GLUCAN ENDO-1;3-BETA-GLUCOSIDASE 7-RELATED","Manes.05G160600.v8.1","gene","GO:0004553 GO:0005975","hydrolase activity","","Manes.05G160600","hydrolyzing O-glycosyl compounds; carbohydrate metabolic process","","false","Manes.05G160600","","",,""
"","",,"NA","purple","","(1 of 1) PF14595 - Thioredoxin (Thioredoxin_9)","Manes.05G153800.v8.1","gene","GO:0006662 GO:0015035 GO:0045454","glycerol ether metabolic process; protein-disulfide reductase activity; cell redox homeostasis","","Manes.05G153800","","","false","Manes.05G153800","","",,""
"","cold-regulated 47",,"NA","purple","","(1 of 4) PF00257 - Dehydrin (Dehydrin)","Manes.05G140400.v8.1","gene","GO:0006950 GO:0009415","response to stress; response to water","","Manes.05G140400","","","false","Manes.05G140400","","",,""
"","Protein of unknown function",,"NA","purple","","(1 of 15) PF04759 - Protein of unknown function; DUF617 (DUF617)","Manes.05G136400.v8.1","gene","","","","Manes.05G136400","","","false","Manes.05G136400","","",,""
"","Bax inhibitor-1 family protein",,"NA","purple","","(1 of 4) K06890 - uncharacterized protein (K06890)","Manes.05G080800.v8.1","gene","","","","Manes.05G080800","","","false","Manes.05G080800","","",,""
"","",,"NA","purple","","","Manes.05G064500.v8.1","gene","","","","Manes.05G064500","","","false","Manes.05G064500","","",,""
"","cystatin B",,"NA","purple","","(1 of 2) PTHR11413//PTHR11413:SF55 - CYSTATIN FAMILY MEMBER // CYSTEINE PROTEINASE INHIBITOR 6","Manes.04G155400.v8.1","gene","GO:0004869","cysteine-type endopeptidase inhibitor activity","","Manes.04G155400","","","false","Manes.04G155400","","",,""
"","Phosphoinositide phosphatase family protein",,"NA","purple","","(1 of 2) PTHR11200//PTHR11200:SF122 - INOSITOL 5-PHOSPHATASE // PHOSPHOINOSITIDE PHOSPHATASE SAC3-RELATED","Manes.04G149500.v8.1","gene","GO:0007033 GO:0036092 GO:0042578","vacuole organization; phosphatidylinositol-3-phosphate biosynthetic process; phosphoric ester hydrolase activity","","Manes.04G149500","","","false","Manes.04G149500","","",,""
"","Protein of unknown function (DUF3511)",,"NA","purple","","(1 of 18) PF12023 - Domain of unknown function (DUF3511) (DUF3511)","Manes.04G141400.v8.1","gene","","","","Manes.04G141400","","","false","Manes.04G141400","","",,""
"","",,"NA","purple","","(1 of 14) PTHR11260//PTHR11260:SF317 - GLUTATHIONE S-TRANSFERASE; GST; SUPERFAMILY; GST DOMAIN CONTAINING // SUBFAMILY NOT NAMED","Manes.04G124300.v8.1","gene","GO:0005515","protein binding","","Manes.04G124300","PWY-6842","glutathione-mediated detoxification II","false","Manes.04G124300","","",,""
"","GRF zinc finger / Zinc knuckle protein",,"NA","purple","","(1 of 2) PF00098//PF06839 - Zinc knuckle (zf-CCHC) // GRF zinc finger (zf-GRF)","Manes.04G094400.v8.1","gene","GO:0003676 GO:0008270","nucleic acid binding; zinc ion binding","","Manes.04G094400","","","false","Manes.04G094400","","",,""
"Senesce","",,"NA","purple","","(1 of 4) PF06911 - Senescence-associated protein (Senescence)","Manes.04G074700.v8.1","gene","","","","Manes.04G074700","","","false","Manes.04G074700","","",,""
"","",,"NA","purple","","(1 of 8) PF05056 - Protein of unknown function (DUF674) (DUF674)","Manes.04G034100.v8.1","gene","","","","Manes.04G034100","","","false","Manes.04G034100","","",,""
"","(1 of 2) PF13668 - Ferritin-like domain (Ferritin_2)",,"NA","purple","","(1 of 5) PF13668 - Ferritin-like domain (Ferritin_2)","Manes.03G207600.v8.1","gene","","","","Manes.03G207600","","","false","Manes.03G207600","","",,""
"","ethylene-responsive element binding protein",,"NA","purple","","(1 of 47) K09286 - EREBP-like factor (EREBP)","Manes.03G199300.v8.1","gene","GO:0003700 GO:0006355","DNA-binding transcription factor activity; regulation of DNA-templated transcription","","Manes.03G199300","","","false","Manes.03G199300","","",,""
"","ralf-like 33",,"NA","purple","","(1 of 5) PTHR33136:SF5 - PROTEIN RALF-LIKE 1-RELATED","Manes.03G194800.v8.1","gene","","","","Manes.03G194800","","","false","Manes.03G194800","","",,""
"","chlorophyllase 2",,"NA","purple","","(1 of 1) PTHR33428//PTHR33428:SF1 - FAMILY NOT NAMED // CHLOROPHYLLASE-2; CHLOROPLASTIC","Manes.03G173700.v8.1","gene","","","","Manes.03G173700","PWY-6927","chlorophyll <i>a</i> degradation II","false","Manes.03G173700","","",,""
"","",,"NA","purple","","(1 of 49) PF00407 - Pathogenesis-related protein Bet v I family (Bet_v_1)","Manes.03G115300.v8.1","gene","GO:0006952 GO:0009607","defense response; response to biotic stimulus","","Manes.03G115300","","","false","Manes.03G115300","","",,""
"","",,"NA","purple","","(1 of 1) PTHR11926//PTHR11926:SF366 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED","Manes.03G111200.v8.1","gene","GO:0008152 GO:0016758","metabolic process; hexosyltransferase activity","","Manes.03G111200","","","false","Manes.03G111200","","",,""
"","RING/U-box superfamily protein",,"NA","purple","","(1 of 5) K11975 - E3 ubiquitin-protein ligase RNF144 [EC:6.3.2.19] (RNF144)","Manes.03G045200.v8.1","gene","GO:0004842 GO:0005515 GO:0008270 GO:0016567","ubiquitin-protein transferase activity; protein binding; zinc ion binding; protein ubiquitination","","Manes.03G045200","","","false","Manes.03G045200","","",,""
"","FAD/NAD(P)-binding oxidoreductase family protein",,"NA","purple","","(1 of 8) 1.6.5.9 - NADH:ubiquinone reductase (non-electrogenic) / Ubiquinone reductase","Manes.02G202900.v8.1","gene","GO:0016491 GO:0055114","oxidoreductase activity","","Manes.02G202900","PWY-7279","aerobic respiration II (cytochrome c) (yeast)","false","Manes.02G202900","","",,""
"","Regulator of Vps4 activity in the MVB pathway protein",,"NA","purple","","(1 of 2) PTHR12161//PTHR12161:SF21 - UNCHARACTERIZED DUF292 // REGULATOR OF VPS4 ACTIVITY IN THE MVB PATHWAY PROTEIN","Manes.02G187600.v8.1","gene","","","","Manes.02G187600","","","false","Manes.02G187600","","",,""
"","",,"NA","purple","","","Manes.02G157200.v8.1","gene","","","","Manes.02G157200","","","false","Manes.02G157200","","",,""
"","cystatin A",,"NA","purple","","(1 of 1) PTHR11413//PTHR11413:SF50 - CYSTATIN FAMILY MEMBER // SUBFAMILY NOT NAMED","Manes.02G134700.v8.1","gene","GO:0004869","cysteine-type endopeptidase inhibitor activity","","Manes.02G134700","","","false","Manes.02G134700","","",,""
"","Protein of unknown function (DUF1262)",,"NA","purple","","(1 of 1) PTHR31050//PTHR31050:SF0 - FAMILY NOT NAMED // T25B24.5 PROTEIN","Manes.02G064600.v8.1","gene","","","","Manes.02G064600","","","false","Manes.02G064600","","",,""
"","BAX inhibitor 1",,"NA","purple","","(1 of 2) PTHR23291:SF34 - BAX INHIBITOR 1","Manes.02G044200.v8.1","gene","","","","Manes.02G044200","","","false","Manes.02G044200","","",,""
"","",,"NA","purple","","(1 of 4) PTHR31080:SF8 - F23N19.12","Manes.02G034900.v8.1","gene","GO:0004857","enzyme inhibitor activity","","Manes.02G034900","PWY-1081","homogalacturonan degradation","false","Manes.02G034900","","",,""
"F5011.5","",,"NA","purple","","(1 of 3) PTHR33593:SF2 - F5O11.5","Manes.02G033500.v8.1","gene","","","","Manes.02G033500","","","false","Manes.02G033500","","",,""
"","",,"NA","purple","","","Manes.02G011000.v8.1","gene","","","","Manes.02G011000","","","false","Manes.02G011000","","",,""
"YMGG","RING/U-box superfamily protein",,"NA","purple","","(1 of 1) PF13441 - YMGG-like Gly-zipper (Gly-zipper_YMGG)","Manes.01G150600.v8.1","gene","GO:0005515 GO:0008270","protein binding; zinc ion binding","","Manes.01G150600","","","false","Manes.01G150600","","",,""
"PPAT","4-phosphopantetheine adenylyltransferase",,"NA","purple","","(1 of 3) 2.7.7.3 - Pantetheine-phosphate adenylyltransferase / PPAT","Manes.01G136850.v8.1","gene","GO:0003824 GO:0009058","catalytic activity; biosynthetic process","","Manes.01G136850","COA-PWY","coenzyme A biosynthesis I","false","Manes.01G136850","","",,""
"","P-loop containing nucleoside triphosphate hydrolases superfamily protein",,"NA","purple","","(1 of 2) PTHR10887//PTHR10887:SF358 - DNA2/NAM7 HELICASE FAMILY // P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN","Manes.01G124801.v8.1","gene","","","","Manes.01G124801","","","false","Manes.01G124801","","",,""
"","",,"NA","purple","","","Manes.01G080400.v8.1","gene","","","","Manes.01G080400","","","false","Manes.01G080400","","",,""
"DCD","DCD (Development and Cell Death) domain protein",,"NA","purple","","(1 of 2) PTHR10857//PTHR10857:SF54 - COPINE // DCD (DEVELOPMENT AND CELL DEATH) DOMAIN PROTEIN","Manes.01G052500.v8.1","gene","","","","Manes.01G052500","","","false","Manes.01G052500","","",,""
"LEA2","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family",,"NA","purple","","(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2)","Manes.01G043300.v8.1","gene","","","","Manes.01G043300","","","false","Manes.01G043300","","",,""
"MYB TF","myb domain protein 110",,"NA","purple","","(1 of 2) PTHR10641//PTHR10641:SF512 - MYB-LIKE DNA-BINDING PROTEIN MYB // MYB-DOMAIN TRANSCRIPTION FACTOR LOF1-RELATED","Manes.01G034800.v8.1","gene","","","","Manes.01G034800","","","false","Manes.01G034800","","",,""
"","",,"NA","purple","","","Manes.01G022400.v8.1","gene","","","","Manes.01G022400","","","false","Manes.01G022400","","",,""
"NAC TF","NAC transcription factor-like 9",,"NA","purple","","(1 of 18) PTHR31989:SF21 - NAC TRANSCRIPTION FACTOR-LIKE 9","Manes.01G000155.v8.1","gene","GO:0003677 GO:0006355","DNA binding; regulation of DNA-templated transcription","","Manes.01G000155","","","false","Manes.01G000155","","",,""
