gene_id,locusName,Description,colors,class,gene_metabolite,GO,GODescription,Pathways,Pathways_Desc,Best-hit-arabi-defline
Manes.14G135300.v8.1,Manes.14G135300,,purple,NA,gene,,,,,(1 of 2) PTHR33782:SF1 - BY GENSCAN AND GENEFINDER-RELATED
Manes.14G133300.v8.1,Manes.14G133300,(1 of 4) PTHR26312//PTHR26312:SF75 - FAMILY NOT NAMED // F18B13.21 PROTEIN-RELATED,purple,NA,gene,GO:0005515,protein binding,,,Tetratricopeptide repeat (TPR)-like superfamily protein
Manes.14G115300.v8.1,Manes.14G115300,(1 of 2) PTHR22957:SF34 - TBC1 DOMAIN FAMILY MEMBER 25,purple,NA,gene,,,,,RabGAP/TBC domain-containing protein
Manes.14G117700.v8.1,Manes.14G117700,(1 of 4) K15289 - solute carrier family 35; member F5 (SLC35F5),purple,NA,gene,GO:0016020 GO:0016021,membrane,,,
Manes.14G119700.v8.1,Manes.14G119700,(1 of 1) KOG2561 - Adaptor protein NUB1; contains UBA domain,purple,NA,gene,GO:0005515,protein binding,,,ubiquitin-associated (UBA)/TS-N domain-containing protein
Manes.14G120700.v8.1,Manes.14G120700,,purple,NA,gene,,,,,(1 of 2) PTHR31414:SF1 - TRANSMEMBRANE PROTEIN DDB_G0292058
Manes.14G142200.v8.1,Manes.14G142200,(1 of 2) PTHR31422//PTHR31422:SF1 - FAMILY NOT NAMED // EXPRESSED PROTEIN,purple,NA,gene,,,,,Protein of unknown function, DUF593
Manes.14G162600.v8.1,Manes.14G162600,(1 of 16) K01537 - Ca2+-transporting ATPase (E3.6.3.8),purple,NA,gene,GO:0000166 GO:0005388 GO:0005516 GO:0005524 GO:0016020 GO:0016021 GO:0046872 GO:0070588,nucleotide binding; P-type calcium transporter activity; calmodulin binding; ATP binding; membrane; metal ion binding; calcium ion transmembrane transport,,,autoinhibited Ca(2+)-ATPase 10
Manes.14G172800.v8.1,Manes.14G172800,(1 of 2) PTHR12701//PTHR12701:SF20 - BCR-ASSOCIATED PROTEIN; BAP // GENOMIC DNA; CHROMOSOME 3; P1 CLONE: MIG5,purple,NA,gene,GO:0005783 GO:0006886 GO:0016021,endoplasmic reticulum; intracellular protein transport,,,B-cell receptor-associated 31-like
Manes.15G023100.v8.1,Manes.15G023100,(1 of 6) KOG3140 - Predicted membrane protein,purple,NA,gene,,,,,SNARE associated Golgi protein family
Manes.15G035200.v8.1,Manes.15G035200,(1 of 2) PTHR24343//PTHR24343:SF102 - SERINE/THREONINE KINASE // CBL-INTERACTING SERINE/THREONINE-PROTEIN KINASE 7,purple,NA,gene,GO:0004672 GO:0004713 GO:0005524 GO:0006468 GO:0007165,protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation; signal transduction,,,CBL-interacting protein kinase 4
Manes.15G038950.v8.1,Manes.15G038950,(1 of 2) PTHR10209//PTHR10209:SF135 - OXIDOREDUCTASE; 2OG-FE II  OXYGENASE FAMILY PROTEIN // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0016491 GO:0055114,oxidoreductase activity,,,
Manes.15G053700.v8.1,Manes.15G053700,(1 of 21) PF04576 - Zein-binding (Zein-binding),purple,NA,gene,,,,,Protein of unknown function, DUF593
Manes.15G064100.v8.1,Manes.15G064100,(1 of 108) PF00168 - C2 domain (C2),purple,NA,gene,GO:0005515,protein binding,,,Calcium-dependent lipid-binding (CaLB domain) family protein
Manes.15G064400.v8.1,Manes.15G064400,(1 of 5) K08272 - calcium binding protein 39 (CAB39; MO25),purple,NA,gene,,,,,
Manes.15G101100.v8.1,Manes.15G101100,(1 of 4) PF02798//PF14497 - Glutathione S-transferase; N-terminal domain (GST_N) // Glutathione S-transferase; C-terminal domain (GST_C_3),purple,NA,gene,GO:0005515,protein binding,PWY-6842,glutathione-mediated detoxification II,glutathione S-transferase TAU 19
Manes.15G108200.v8.1,Manes.15G108200,(1 of 4) PTHR10641//PTHR10641:SF455 - MYB-LIKE DNA-BINDING PROTEIN MYB // SUBFAMILY NOT NAMED,purple,NA,gene,,,,,myb domain protein 5
Manes.15G128200.v8.1,Manes.15G128200,(1 of 5) PTHR24055//PTHR24055:SF211 - MITOGEN-ACTIVATED PROTEIN KINASE // MITOGEN-ACTIVATED PROTEIN KINASE 16-RELATED,purple,NA,gene,GO:0004672 GO:0004713 GO:0005524 GO:0006468 GO:0016020 GO:0016773,protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation; membrane; phosphotransferase activity, alcohol group as acceptor,,,
Manes.15G130600.v8.1,Manes.15G130600,(1 of 49) PF00407 - Pathogenesis-related protein Bet v I family (Bet_v_1),purple,NA,gene,GO:0006952 GO:0009607,defense response; response to biotic stimulus,,,MLP-like protein 31
Manes.15G139400.v8.1,Manes.15G139400,(1 of 11) PTHR11732:SF239 - ALDO/KETO REDUCTASE-RELATED,purple,NA,gene,GO:0016491 GO:0055114,oxidoreductase activity,,,
Manes.15G141200.v8.1,Manes.15G141200,(1 of 2) 3.1.21.7 - Deoxyribonuclease V / Escherichia coli endodeoxyribonuclease V,purple,NA,gene,GO:0004519 GO:0006281,endonuclease activity; DNA repair,,,endonuclease V family protein
Manes.15G155400.v8.1,Manes.15G155400,(1 of 1) PTHR34278//PTHR34278:SF1 - FAMILY NOT NAMED // GB|AAC02775.1,purple,NA,gene,,,,,(1 of 1) PTHR34278:SF1 - GB
Manes.15G161100.v8.1,Manes.15G161100,(1 of 2) PTHR11945//PTHR11945:SF176 - MADS BOX PROTEIN // PROTEIN AGAMOUS-LIKE 82,purple,NA,gene,GO:0003677 GO:0046983,DNA binding; protein dimerization activity,,,AGAMOUS-like 82
Manes.15G162100.v8.1,Manes.15G162100,(1 of 11) PF11820 - Protein of unknown function (DUF3339) (DUF3339),purple,NA,gene,,,,,Protein of unknown function (DUF 3339)
Manes.15G162300.v8.1,Manes.15G162300,(1 of 1) PTHR33128//PTHR33128:SF13 - FAMILY NOT NAMED // EMB|CAB62355.1,purple,NA,gene,,,,,Protein of unknown function (DUF 3339)
Manes.15G175500.v8.1,Manes.15G175500,(1 of 1) PTHR23070//PTHR23070:SF19 - BCS1 AAA-TYPE ATPASE // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0005524,ATP binding,,,
Manes.15G192300.v8.1,Manes.15G192300,(1 of 2) PTHR31062//PTHR31062:SF16 - FAMILY NOT NAMED // XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 29-RELATED,purple,NA,gene,GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046,hydrolase activity, hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast,,,xyloglucan endotransglucosylase/hydrolase 30
Manes.16G017100.v8.1,Manes.16G017100,(1 of 1) PTHR24115:SF464 - KINESIN-1-RELATED,purple,NA,gene,GO:0003777 GO:0005524 GO:0005871 GO:0007018 GO:0008017,microtubule motor activity; ATP binding; kinesin complex; microtubule-based movement; microtubule binding,,,kinesin 1
Manes.16G032500.v8.1,Manes.16G032500,(1 of 3) PTHR31079:SF5 - NAC DOMAIN CONTAINING PROTEIN 10,purple,NA,gene,GO:0003677 GO:0006355,DNA binding; regulation of DNA-templated transcription,,,NAC domain containing protein 10
Manes.16G048683.v8.1,Manes.16G048683,(1 of 2) PTHR22891:SF4 - PROTEIN ARGONAUTE 2-RELATED,purple,NA,gene,GO:0003676 GO:0005515,nucleic acid binding; protein binding,,,Argonaute family protein
Manes.16G066300.v8.1,Manes.16G066300,(1 of 2) K03978 - GTP-binding protein (engB),purple,NA,gene,GO:0000917 GO:0005525,division septum assembly; GTP binding,,,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Manes.16G081200.v8.1,Manes.16G081200,(1 of 2) 1.14.19.3 - Acyl-CoA 6-desaturase / Long-chain fatty acid Delta(6)-desaturase,purple,NA,gene,GO:0006629 GO:0016021 GO:0016491,lipid metabolic process; oxidoreductase activity,PWY-7601; PWY-7606; PWY-7726,arachidonate biosynthesis IV (8-detaturase, lower eukaryotes); docosahexaenoate biosynthesis III (6-desaturase, mammals); (4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase),
Manes.16G100000.v8.1,Manes.16G100000,(1 of 2) K11155 - diacylglycerol O-acyltransferase 1 (DGAT1),purple,NA,gene,GO:0004144 GO:0008374 GO:0019432,diacylglycerol O-acyltransferase activity; O-acyltransferase activity; triglyceride biosynthetic process,TRIGLSYN-PWY,diacylglycerol and triacylglycerol biosynthesis,membrane bound O-acyl transferase (MBOAT) family protein
Manes.16G103300.v8.1,Manes.16G103300,(1 of 4) PTHR12374//PTHR12374:SF19 - TRANSCRIPTIONAL ADAPTOR 2  ADA2 -RELATED // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0003676 GO:0008270,nucleic acid binding; zinc ion binding,,,myb-like transcription factor family protein
Manes.16G121600.v8.1,Manes.16G121600,(1 of 3) PTHR18896//PTHR18896:SF11 - PHOSPHOLIPASE D // PHOSPHOLIPASE D ALPHA 1-RELATED,purple,NA,gene,GO:0003824 GO:0004630 GO:0005509 GO:0005515 GO:0016020 GO:0046470,catalytic activity; phospholipase D activity; calcium ion binding; protein binding; membrane; phosphatidylcholine metabolic process,PWY-7039; LIPASYN-PWY; PWY-3561,phosphatidate metabolism, as a signaling molecule; phospholipases; choline biosynthesis III,
Manes.16G130900.v8.1,Manes.16G130900,(1 of 2) KOG1766 - Enhancer of rudimentary,purple,NA,gene,GO:0006221 GO:0007049 GO:0045747,pyrimidine nucleotide biosynthetic process; cell cycle; positive regulation of Notch signaling pathway,,,enhancer of rudimentary protein, putative
Manes.16G133800.v8.1,Manes.16G133800,(1 of 10) K11855 - ubiquitin carboxyl-terminal hydrolase 36/42 [EC:3.4.19.12] (USP36_42),purple,NA,gene,,,,,ubiquitin-specific protease 19
Manes.17G009100.v8.1,Manes.17G009100,(1 of 2) 1.23.1.4 - (-)-lariciresinol reductase / Pinoresinol/lariciresinol reductase,purple,NA,gene,GO:0003824 GO:0050662,catalytic activity,PWY-6824; PWY-5466,justicidin B biosynthesis; matairesinol biosynthesis,pinoresinol reductase 1
Manes.17G029024.v8.1,Manes.17G029024,(1 of 6) PTHR24361:SF380 - MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 17-RELATED,purple,NA,gene,GO:0004672 GO:0004713 GO:0005524 GO:0006468,protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,,,
Manes.17G031200.v8.1,Manes.17G031200,(1 of 7) K03809 - NAD(P)H dehydrogenase (quinone) (wrbA),purple,NA,gene,GO:0010181 GO:0016491 GO:0045892,FMN binding; oxidoreductase activity; negative regulation of DNA-templated transcription,PWY-7279,aerobic respiration II (cytochrome c) (yeast),
Manes.17G042633.v8.1,Manes.17G042633,(1 of 19) PF06749 - Protein of unknown function (DUF1218) (DUF1218),purple,NA,gene,,,,,Protein of unknown function (DUF1218)
Manes.17G045800.v8.1,Manes.17G045800,(1 of 2) K06027 - vesicle-fusing ATPase (NSF),purple,NA,gene,GO:0005524,ATP binding,,,AAA-type ATPase family protein
Manes.17G081800.v8.1,Manes.17G081800,(1 of 166) PF00646 - F-box domain (F-box),purple,NA,gene,GO:0005515,protein binding,,,RNI-like superfamily protein
Manes.17G088500.v8.1,Manes.17G088500,(1 of 599) PF13041 - PPR repeat family (PPR_2),purple,NA,gene,,,,,
Manes.17G099100.v8.1,Manes.17G099100,(1 of 9) PF05055 - Protein of unknown function (DUF677) (DUF677),purple,NA,gene,,,,,Protein of unknown function (DUF677)
Manes.18G008500.v8.1,Manes.18G008500,(1 of 3) PTHR13711//PTHR13711:SF202 - SWI/SNF-RELATED CHROMATIN BINDING PROTEIN // HIGH MOBILITY GROUP B PROTEIN 10-RELATED,purple,NA,gene,GO:0003677,DNA binding,,,HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain
Manes.18G027300.v8.1,Manes.18G027300,(1 of 3) PTHR10996//PTHR10996:SF162 - 2-HYDROXYACID DEHYDROGENASE-RELATED // SUBFAMILY NOT NAMED,purple,NA,gene,,,,,Erythronate-4-phosphate dehydrogenase family protein
Manes.18G036400.v8.1,Manes.18G036400,(1 of 19) PTHR10891:SF592 - CALCIUM-BINDING PROTEIN CML38-RELATED,purple,NA,gene,GO:0005509,calcium ion binding,,,
Manes.18G036500.v8.1,Manes.18G036500,(1 of 28) PF13202 - EF hand (EF-hand_5),purple,NA,gene,GO:0005509,calcium ion binding,,,
Manes.18G041700.v8.1,Manes.18G041700,(1 of 3) 3.5.1.1 - Asparaginase / L-asparagine amidohydrolase,purple,NA,gene,GO:0016787,hydrolase activity,ASPARAGINE-DEG1-PWY,L-asparagine degradation I,N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein
Manes.18G049100.v8.1,Manes.18G049100,(1 of 2) PTHR22952//PTHR22952:SF115 - CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0003700 GO:0006355 GO:0043565,DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding,,,basic leucine-zipper 4
Manes.18G054150.v8.1,Manes.18G054150,(1 of 2) PTHR22952//PTHR22952:SF145 - CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0006351 GO:0043565,DNA-templated transcription; sequence-specific DNA binding,,,transcription factor-related
Manes.18G059800.v8.1,Manes.18G059800,(1 of 2) PTHR31100:SF1 - AT-HOOK MOTIF NUCLEAR LOCALIZED PROTEIN 17-RELATED,purple,NA,gene,,,,,Predicted AT-hook DNA-binding family protein
Manes.18G077024.v8.1,Manes.18G077024,(1 of 6) PTHR32278:SF6 - F-BOX PROTEIN PP2-B1-RELATED,purple,NA,gene,GO:0005515,protein binding,,,F-box family protein
Manes.18G077300.v8.1,Manes.18G077300,(1 of 6) PTHR32278:SF6 - F-BOX PROTEIN PP2-B1-RELATED,purple,NA,gene,GO:0005515,protein binding,,,F-box family protein
Manes.18G084700.v8.1,Manes.18G084700,,purple,NA,gene,,,,,
Manes.18G097500.v8.1,Manes.18G097500,(1 of 2) PTHR12161:SF21 - REGULATOR OF VPS4 ACTIVITY IN THE MVB PATHWAY PROTEIN,purple,NA,gene,,,,,Regulator of Vps4 activity in the MVB pathway protein
Manes.18G099900.v8.1,Manes.18G099900,(1 of 17) 2.4.1.255 - Protein O-GlcNAc transferase / OGTase,purple,NA,gene,GO:0005515,protein binding,PWY-7437,protein <i>O</i>-[<i>N</i>-acetyl]-glucosylation,Tetratricopeptide repeat (TPR)-like superfamily protein
Manes.18G101100.v8.1,Manes.18G101100,(1 of 2) PTHR10795//PTHR10795:SF316 - PROPROTEIN CONVERTASE SUBTILISIN/KEXIN // SERINE PROTEASE-LIKE PROTEIN-RELATED,purple,NA,gene,,,,,Proteinase inhibitor, propeptide
Manes.18G107800.v8.1,Manes.18G107800,(1 of 5) PF00646//PF08268 - F-box domain (F-box) // F-box associated domain (FBA_3),purple,NA,gene,GO:0005515,protein binding,,,
Manes.18G108700.v8.1,Manes.18G108700,,purple,NA,gene,,,,,
Manes.18G113400.v8.1,Manes.18G113400,(1 of 270) PF13639 - Ring finger domain (zf-RING_2),purple,NA,gene,GO:0005515 GO:0008270,protein binding; zinc ion binding,,,
Manes.S095408.v8.1,Manes.S095408,(1 of 3) PTHR22939//PTHR22939:SF90 - SERINE PROTEASE FAMILY S1C HTRA-RELATED // SUBFAMILY NOT NAMED,purple,NA,gene,GO:0005515,protein binding,,,
Phytoene,Phytoene,NA,purple,carot,metabolite,NA,NA,NA,NA,NA
Phytofluene,Phytofluene,NA,purple,carot,metabolite,NA,NA,NA,NA,NA
Zeta.Carotene,Zeta.Carotene,NA,purple,carot,metabolite,NA,NA,NA,NA,NA
total_carotenoids,total_carotenoids,NA,purple,carot,metabolite,NA,NA,NA,NA,NA
Beta.Carotene,Beta.Carotene,NA,purple,carot,metabolite,NA,NA,NA,NA,NA
ratio_viola_bc,ratio_viola_bc,NA,purple,carot,metabolite,NA,NA,NA,NA,NA
