"","gene_id","colors","locusName","Pathways","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"397","Manes.08G128100.v8.1","indianred4","Manes.08G128100","CAROTENOID-PWY; PWY-6475","carot","(1 of 1) 1.14.99.30 - Transferred entry: 1.3.5.6","GO:0016117 GO:0016719 GO:0055114","KOG0029","K00514","PF13450","PTHR10742 PTHR10742:SF274","zeta-carotene desaturase"
"398","Manes.08G132900.v8.1","coral2","Manes.08G132900","PHOTOALL-PWY; PENTOSE-P-PWY; NONOXIPENT-PWY; PWY-5723; CALVIN-PWY","carb","(1 of 2) PTHR11934:SF0 - RIBOSE-5-PHOSPHATE ISOMERASE","GO:0004751 GO:0009052","KOG3075","K01807","PF06026","PTHR11934 PTHR11934:SF0","Ribose 5-phosphate isomerase, type A protein"
"399","Manes.08G138300.v8.1","yellow","Manes.08G138300","PWY-7117; GLUCONEO-PWY; PWY-561","carb","(1 of 1) 2.7.11.1//4.1.1.49 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase // Phosphoenolpyruvate carboxykinase (ATP) / Phosphopyruvate carboxylase","GO:0004672 GO:0004713 GO:0005524 GO:0006468","KOG0032","","PF14531","PTHR24349 PTHR24349:SF76","phosphoenolpyruvate carboxylase kinase 2"
"400","Manes.08G142800.v8.1","turquoise","Manes.08G142800","PWY-7437","carb","(1 of 2) K09667 - protein O-GlcNAc transferase (OGT)","GO:0005515","","K09667","PF13414 PF13424 PF13844","PTHR23083 PTHR23083:SF364","Tetratricopeptide repeat (TPR)-like superfamily protein"
"401","Manes.08G156000.v8.1","paleturquoise","Manes.08G156000","PWY-3801; PWY-6527; SUCSYN-PWY; PWY-7238; PWY-7343; ","carb","(1 of 1) KOG2638 - UDP-glucose pyrophosphorylase","GO:0003735 GO:0005622 GO:0005840 GO:0006412 GO:0008152 GO:0070569","KOG2638","K00963","PF00318 PF01704","PTHR11952 PTHR11952:SF13",""
"402","Manes.08G162200.v8.1","turquoise","Manes.08G162200","PWY-6724; PWY-7238","carb","(1 of 1) PTHR32518//PTHR32518:SF3 - FAMILY NOT NAMED // 4-ALPHA-GLUCANOTRANSFERASE DPE2","GO:0004134 GO:0005975 GO:2001070","","K00705","PF00686 PF02446","PTHR32518 PTHR32518:SF3","disproportionating enzyme 2"
"403","Manes.08G164500.v8.1","darkmagenta","Manes.08G164500","","carb","(1 of 1) K00851 - gluconokinase (E2.7.1.12; gntK; idnK)","GO:0005975 GO:0016301","KOG3354","K00851","PF01202","PTHR11603","P-loop containing nucleoside triphosphate hydrolases superfamily protein"
"404","Manes.08G165700.v8.1","paleturquoise","Manes.08G165700","PWY-1061","carb","(1 of 2) PTHR32116//PTHR32116:SF12 - FAMILY NOT NAMED // GALACTURONOSYLTRANSFERASE 7-RELATED","GO:0016757 GO:0047262","","K13648","PF01501","PTHR32116 PTHR32116:SF12","galacturonosyltransferase 7"
"405","Manes.08G166700.v8.1","yellow","Manes.08G166700","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 2) 5.4.2.11//5.4.2.12 - Phosphoglycerate mutase (2;3-diphosphoglycerate-dependent) / Phosphoglyceromutase // Phosphoglycerate mutase (2;3-diphosphoglycerate-independent) / Phosphoglyceromutase","GO:0003824 GO:0004619 GO:0005737 GO:0006007 GO:0030145 GO:0046872","","K15633","PF01676 PF06415","PTHR31637 PTHR31637:SF3","Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent"
"406","Manes.08G170200.v8.1","red","Manes.08G170200","","carb","(1 of 1) PTHR31451//PTHR31451:SF17 - FAMILY NOT NAMED // MANNAN ENDO-1;4-BETA-MANNOSIDASE 6","GO:0004553 GO:0005975","","K19355","PF00150","PTHR31451 PTHR31451:SF17","Glycosyl hydrolase superfamily protein"
"407","Manes.09G000900.v8.1","brown2","Manes.09G000900","PWY-1061","carb","(1 of 2) PTHR32116:SF3 - GALACTURONOSYLTRANSFERASE 3-RELATED","GO:0016757 GO:0047262","","K13648","PF01501","PTHR32116 PTHR32116:SF3","galacturonosyltransferase 3"
"408","Manes.09G000200.v8.1","darkgreen","Manes.09G000200","PHOTOALL-PWY; PWY-101","carb","(1 of 1) PTHR31407//PTHR31407:SF14 - FAMILY NOT NAMED // PSBP DOMAIN-CONTAINING PROTEIN 6; CHLOROPLASTIC","GO:0005509 GO:0009523 GO:0009654 GO:0015979 GO:0019898","","","PF01789","PTHR31407 PTHR31407:SF14","Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein"
"409","Manes.09G007300.v8.1","lightgreen","Manes.09G007300","PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 1) PTHR11817//PTHR11817:SF29 - PYRUVATE KINASE // SUBFAMILY NOT NAMED","GO:0000287 GO:0004743 GO:0006096 GO:0030955","KOG2323","K00873","PF00224 PF02887","PTHR11817 PTHR11817:SF29",""
"410","Manes.09G008200.v8.1","turquoise","Manes.09G008200","CAROTENOID-PWY; PWY-5947; PWY-5943","carot","(1 of 1) K06443 - lycopene beta-cyclase (lcyB; crtL1; crtY)","GO:0016117 GO:0016705","","K06443","PF05834","PTHR13789 PTHR13789:SF249","lycopene cyclase"
"411","Manes.09G010000.v8.1","lightpink3","Manes.09G010000","","carb","(1 of 1) K03860 - phosphatidylinositol glycan; class Q (PIGQ; GPI1)","GO:0006506 GO:0016021 GO:0017176","","K03860","PF05024","PTHR21329 PTHR21329:SF3","N-acetylglucosaminyl transferase component family protein / Gpi1 family protein"
"412","Manes.09G028900.v8.1","navajowhite1","Manes.09G028900","PWY-5980","carb","(1 of 1) PTHR11062//PTHR11062:SF21 - EXOSTOSIN  HEPARAN SULFATE GLYCOSYLTRANSFERASE -RELATED // SUBFAMILY NOT NAMED","GO:0005515","KOG1021","","PF03016","PTHR11062 PTHR11062:SF21","exostosin family protein"
"413","Manes.09G042100.v8.1","antiquewhite1","Manes.09G042100","SUCSYN-PWY; PWY-7238","carb","(1 of 3) 3.1.3.24 - Sucrose-phosphate phosphatase / Sucrose-6-phosphate phosphatase","GO:0000287 GO:0003824 GO:0005986 GO:0008152 GO:0016791 GO:0050307","","","PF08282 PF08472","PTHR12526 PTHR12526:SF2","Sucrose-6F-phosphate phosphohydrolase family protein"
"414","Manes.09G052300.v8.1","saddlebrown","Manes.09G052300","PWY-7437","carb","(1 of 2) PTHR23083//PTHR23083:SF397 - TETRATRICOPEPTIDE REPEAT PROTEIN; TPR // UDP-N-ACETYLGLUCOSAMINE--PEPTIDE N-ACETYLGLUCOSAMINYLTRANSFERASE SPINDLY-RELATED","GO:0005515","","","PF00515 PF13414 PF13424 PF13844","PTHR23083 PTHR23083:SF397","Tetratricopeptide repeat (TPR)-like superfamily protein"
"415","Manes.09G058676.v8.1","blue","Manes.09G058676","GLYCOGENSYNTH-PWY; PWY-622","carb","(1 of 2) PTHR10357//PTHR10357:SF141 - ALPHA-AMYLASE // 1;4-ALPHA-GLUCAN-BRANCHING ENZYME 2-1; CHLOROPLASTIC/AMYLOPLASTIC-RELATED","GO:0003824 GO:0003844 GO:0004553 GO:0005975 GO:0005978 GO:0043169","","K00700","PF00128 PF02806 PF02922","PTHR10357 PTHR10357:SF141","starch branching enzyme 2.1"
"416","Manes.09G060608.v8.1","yellow","Manes.09G060608","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 2) PTHR11902//PTHR11902:SF19 - ENOLASE // SUBFAMILY NOT NAMED","GO:0000015 GO:0000287 GO:0004634 GO:0006096","","K01689","PF00113 PF03952","PTHR11902 PTHR11902:SF19","Enolase"
"417","Manes.09G061100.v8.1","pink","Manes.09G061100","PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 3) PTHR11817//PTHR11817:SF33 - PYRUVATE KINASE // SUBFAMILY NOT NAMED","GO:0000287 GO:0004743 GO:0006096 GO:0030955","","K00873","PF00224 PF02887","PTHR11817 PTHR11817:SF33","Pyruvate kinase family protein"
"418","Manes.09G057761.v8.1","plum","Manes.09G057761","","carb","(1 of 6) PTHR23421//PTHR23421:SF49 - BETA-GALACTOSIDASE RELATED // BETA-GALACTOSIDASE 15-RELATED","GO:0004553 GO:0005975","","","PF01535","PTHR23421 PTHR23421:SF49",""
"419","Manes.09G058128.v8.1","darkred","Manes.09G058128","","carb","(1 of 3) PF01301//PF02140//PF02449 - Glycosyl hydrolases family 35 (Glyco_hydro_35) // Galactose binding lectin domain (Gal_Lectin) // Beta-galactosidase (Glyco_hydro_42)","GO:0004553 GO:0005975 GO:0030246","","","PF01301 PF02140","PTHR23421 PTHR23421:SF49",""
"420","Manes.09G049886.v8.1","lightslateblue","Manes.09G049886","PWY-6724","carb","(1 of 11) 3.2.1.2 - Beta-amylase / Saccharogen amylase","GO:0000272 GO:0016161","","","PF01373","PTHR31352 PTHR31352:SF7",""
"421","Manes.09G064800.v8.1","darkviolet","Manes.09G064800","","carb","(1 of 2) PTHR31062//PTHR31062:SF52 - FAMILY NOT NAMED // XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 31-RELATED","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","","K08235","PF00722 PF06955","PTHR31062 PTHR31062:SF52","xyloglucan endotransglucosylase/hydrolase 32"
"422","Manes.09G066828.v8.1","salmon","Manes.09G066828","ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY; PWY66-399; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY","carb","(1 of 1) PTHR11406//PTHR11406:SF13 - PHOSPHOGLYCERATE KINASE // SUBFAMILY NOT NAMED","GO:0004618 GO:0006096 GO:0006400 GO:0008176","KOG1367","K00927","PF00162 PF02390","PTHR11406 PTHR11406:SF13",""
"423","Manes.09G075494.v8.1","mediumpurple2","Manes.09G075494","","carb","(1 of 3) PTHR27007:SF47 - L-TYPE LECTIN-DOMAIN CONTAINING RECEPTOR KINASE VIII.1-RELATED","GO:0004672 GO:0004713 GO:0005524 GO:0006468 GO:0030246","KOG1187","","PF00069 PF00139","PTHR27007 PTHR27007:SF47","Concanavalin A-like lectin protein kinase family protein"
"424","Manes.09G076472.v8.1","blue4","Manes.09G076472","GLYCOGENSYNTH-PWY; PWY-622","carb","(1 of 2) PTHR10357:SF119 - 1;4-ALPHA-GLUCAN-BRANCHING ENZYME 3; CHLOROPLASTIC/AMYLOPLASTIC","GO:0003824 GO:0005975 GO:0043169","","","PF02806","PTHR10357 PTHR10357:SF119",""
"425","Manes.09G079600.v8.1","purple","Manes.09G079600","PWY-1081","carb","(1 of 1) PTHR31321:SF8 - PECTINESTERASE 8-RELATED","GO:0005618 GO:0030599 GO:0042545","","","PF01095","PTHR31321 PTHR31321:SF8","Pectin lyase-like superfamily protein"
"426","Manes.09G079657.v8.1","maroon","Manes.09G079657","; CAROTENOID-PWY; PWY-5947","carot","(1 of 1) PTHR24291//PTHR24291:SF46 - FAMILY NOT NAMED // CYTOCHROME P450 97B3; CHLOROPLASTIC","GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114","KOG0157","","PF00067","PTHR24291 PTHR24291:SF46","cytochrome P450, family 97, subfamily B, polypeptide 3"
"427","Manes.09G074500.v8.1","green","Manes.09G074500","","carb","(1 of 1) K01209 - alpha-N-arabinofuranosidase (E3.2.1.55; abfA)","GO:0046373 GO:0046556","","K01209","PF06964","PTHR31776 PTHR31776:SF0","alpha-L-arabinofuranosidase 1"
"428","Manes.09G073800.v8.1","black","Manes.09G073800","CHLOROPHYLL-SYN","carb","(1 of 1) 1.14.13.81 - Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase / Mg-protoporphyrin IX monomethyl ester oxidative cyclase","GO:0015979 GO:0015995 GO:0016491 GO:0046872 GO:0048529 GO:0055114","","K04035","PF02915","PTHR31053 PTHR31053:SF2","dicarboxylate diiron protein, putative (Crd1)"
"429","Manes.09G081612.v8.1","yellow2","Manes.09G081612","","carb","(1 of 6) PTHR19957:SF119 - SYNTAXIN-8","GO:0004559 GO:0005515 GO:0005975","","","PF01074","PTHR19957 PTHR19957:SF119",""
"430","Manes.09G077799.v8.1","navajowhite1","Manes.09G077799","PWY-822","carb","(1 of 3) 2.4.1.10 - Levansucrase / Sucrose 6-fructosyltransferase","GO:0003677 GO:0003700 GO:0005507 GO:0005634 GO:0006355 GO:0030001 GO:0046872","","","PF00403","PTHR22814 PTHR22814:SF79","Heavy metal transport/detoxification superfamily protein"
"431","Manes.09G084500.v8.1","greenyellow","Manes.09G084500","PWY-5910; PWY-7709; PWY-6859; PWY-5122; PWY-5123","carot","(1 of 2) 2.5.1.1//2.5.1.10 - Dimethylallyltranstransferase / Prenyltransferase // (2E;6E)-farnesyl diphosphate synthase / Geranyltranstransferase","GO:0008299","KOG0711","K00787","PF00348","PTHR11525 PTHR11525:SF5","farnesyl diphosphate synthase 1"
"432","Manes.09G085100.v8.1","royalblue","Manes.09G085100","","carb","(1 of 3) PTHR32227//PTHR32227:SF11 - FAMILY NOT NAMED // O-GLYCOSYL HYDROLASES FAMILY 17 PROTEIN","GO:0004553 GO:0005975","","","PF00332 PF07983","PTHR32227 PTHR32227:SF11","O-Glycosyl hydrolases family 17 protein"
"433","Manes.09G085200.v8.1","turquoise","Manes.09G085200","PWY-5464; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 2) PTHR13697//PTHR13697:SF11 - PHOSPHOFRUCTOKINASE // 6-PHOSPHOFRUCTOKINASE 2","GO:0003872 GO:0005524 GO:0006002 GO:0006096","KOG2440","K00850","PF00365","PTHR13697 PTHR13697:SF11","phosphofructokinase 2"
"434","Manes.09G077900.v8.1","grey","Manes.09G077900","","carb","(1 of 3) PTHR32227//PTHR32227:SF11 - FAMILY NOT NAMED // O-GLYCOSYL HYDROLASES FAMILY 17 PROTEIN","GO:0004553 GO:0005975","","","PF00332 PF07983","PTHR32227 PTHR32227:SF11","O-Glycosyl hydrolases family 17 protein"
"435","Manes.09G094700.v8.1","pink","Manes.09G094700","","carb","(1 of 4) PTHR27007:SF13 - L-TYPE LECTIN-DOMAIN CONTAINING RECEPTOR KINASE IV.1-RELATED","GO:0004672 GO:0004713 GO:0005524 GO:0006468 GO:0030246","KOG1187","","PF00069 PF00139","PTHR27007 PTHR27007:SF13","receptor lectin kinase"
"436","Manes.09G100300.v8.1","purple","Manes.09G100300","","carb","(1 of 49) PF00139 - Legume lectin domain (Lectin_legB)","GO:0030246","","","PF00139","PTHR32401 PTHR32401:SF7","Concanavalin A-like lectin family protein"
"437","Manes.09G118700.v8.1","grey","Manes.09G118700","PWY-6902","carb","(1 of 4) 3.2.1.52 - Beta-N-acetylhexosaminidase / N-acetyl-beta-glucosaminidase","GO:0004553 GO:0004563 GO:0005975","","K12373","PF00728 PF14845","PTHR22600 PTHR22600:SF14","beta-hexosaminidase 2"
"438","Manes.09G119300.v8.1","blue","Manes.09G119300","PWY-1061","carb","(1 of 2) PTHR32116:SF12 - GALACTURONOSYLTRANSFERASE 7-RELATED","GO:0016757 GO:0047262","","K13648","PF01501","PTHR32116 PTHR32116:SF12","galacturonosyltransferase 7"
"439","Manes.09G120000.v8.1","green3","Manes.09G120000","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 2) 5.4.2.11//5.4.2.12 - Phosphoglycerate mutase (2;3-diphosphoglycerate-dependent) / Phosphoglyceromutase // Phosphoglycerate mutase (2;3-diphosphoglycerate-independent) / Phosphoglyceromutase","GO:0003824 GO:0004619 GO:0005737 GO:0006007 GO:0030145 GO:0046872","","K15633","PF01676 PF06415","PTHR31637 PTHR31637:SF3","Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent"
"440","Manes.09G128000.v8.1","grey","Manes.09G128000","PWY-7117; GLUCONEO-PWY; PWY-561","carb","(1 of 1) PTHR30031//PTHR30031:SF2 - PHOSPHOENOLPYRUVATE CARBOXYKINASE  ATP // SUBFAMILY NOT NAMED","GO:0004612 GO:0005524 GO:0006094","","","PF01293","PTHR30031 PTHR30031:SF2",""
"441","Manes.09G128800.v8.1","orangered3","Manes.09G128800","","carb","(1 of 2) 2.7.1.15 - Ribokinase","GO:0004747 GO:0006014","KOG2854","","PF00294","PTHR10584 PTHR10584:SF162","pfkB-like carbohydrate kinase family protein"
"442","Manes.09G133500.v8.1","sienna2","Manes.09G133500","","carb","(1 of 1) PTHR15495//PTHR15495:SF17 - NEGATIVE REGULATOR OF VESICLE FORMATION-RELATED // SUBFAMILY NOT NAMED","GO:0006505 GO:0006886 GO:0016788","","","PF07819","PTHR15495 PTHR15495:SF17","alpha/beta-Hydrolases superfamily protein"
"443","Manes.09G141600.v8.1","saddlebrown","Manes.09G141600","","carb","(1 of 1) K00965 - UDPglucose--hexose-1-phosphate uridylyltransferase (galT; GALT)","GO:0006012 GO:0008108 GO:0008270","KOG2958","K00965","PF01087","PTHR11943 PTHR11943:SF3","UTP:galactose-1-phosphate uridylyltransferases;ribose-5-phosphate adenylyltransferases"
"444","Manes.09G142500.v8.1","lightyellow","Manes.09G142500","","carb","(1 of 1) PTHR32227//PTHR32227:SF95 - FAMILY NOT NAMED // GLUCAN ENDO-1;3-BETA-GLUCOSIDASE 8-RELATED","GO:0004553 GO:0005975","","","PF00332 PF07983","PTHR32227 PTHR32227:SF95","O-Glycosyl hydrolases family 17 protein"
"445","Manes.09G144600.v8.1","black","Manes.09G144600","CAROTENOID-PWY; PWY-5945","carot","(1 of 1) K09839 - violaxanthin de-epoxidase (VDE; NPQ1)","GO:0009507 GO:0046422 GO:0055114","","K09839","PF07137","PTHR33970 PTHR33970:SF1","non-photochemical quenching 1"
"446","Manes.09G145400.v8.1","brown4","Manes.09G145400","PWY-7437","carb","(1 of 2) K09667 - protein O-GlcNAc transferase (OGT)","GO:0005515","","K09667","PF13414 PF13424 PF13844","PTHR23083 PTHR23083:SF364","Tetratricopeptide repeat (TPR)-like superfamily protein"
"447","Manes.09G152100.v8.1","firebrick3","Manes.09G152100","","carb","(1 of 3) K02721 - photosystem II PsbW protein (psbW)","GO:0009507 GO:0009523 GO:0015979","","K02721","PF07123","PTHR34552",""
"448","Manes.09G154000.v8.1","lightyellow","Manes.09G154000","PHOTOALL-PWY; PENTOSE-P-PWY; NONOXIPENT-PWY; PWY-5723; CALVIN-PWY","carb","(1 of 2) PTHR11934//PTHR11934:SF0 - RIBOSE-5-PHOSPHATE ISOMERASE // RIBOSE-5-PHOSPHATE ISOMERASE","GO:0004751 GO:0009052","KOG3075","K01807","PF06026","PTHR11934 PTHR11934:SF0","Ribose 5-phosphate isomerase, type A protein"
"449","Manes.09G155900.v8.1","coral2","Manes.09G155900","PHOTOALL-PWY; PENTOSE-P-PWY; NONOXIPENT-PWY; PWY-5723; CALVIN-PWY","carb","(1 of 1) PTHR30345 - RIBOSE-5-PHOSPHATE ISOMERASE B","GO:0005975 GO:0016853","","","PF02502","PTHR30345 PTHR30345:SF0","DNA-damage-repair/toleration protein (DRT102)"
"450","Manes.09G165700.v8.1","skyblue4","Manes.09G165700","PWY-922; PWY-5910","carot","(1 of 2) 2.7.1.36 - Mevalonate kinase","GO:0004496 GO:0005524 GO:0005737 GO:0008152 GO:0008299 GO:0016301 GO:0016773","KOG1511","K00869","PF00288 PF08544","PTHR10457 PTHR10457:SF4","mevalonate kinase"
"451","Manes.09G171750.v8.1","black","Manes.09G171750","PWY-1081","carb","(1 of 137) 3.1.1.11 - Pectinesterase / Pectin methylesterase","GO:0004857 GO:0005618 GO:0030599 GO:0042545","","","PF01095 PF04043","PTHR31707 PTHR31707:SF17",""
"452","Manes.09G179100.v8.1","floralwhite","Manes.09G179100","PWY-5337","carb","(1 of 6) K18819 - inositol 3-alpha-galactosyltransferase (GOLS)","GO:0016757","KOG1950","K18819","PF01501","PTHR11183 PTHR11183:SF59","galactinol synthase 2"
"453","Manes.09G179700.v8.1","ivory","Manes.09G179700","PENTOSE-P-PWY; OXIDATIVEPENT-PWY","carb","(1 of 1) PTHR23429//PTHR23429:SF4 - GLUCOSE-6-PHOSPHATE 1-DEHYDROGENASE  G6PD // GLUCOSE-6-PHOSPHATE 1-DEHYDROGENASE 4; CHLOROPLASTIC","GO:0004345 GO:0006006 GO:0050661 GO:0055114","","K00036","PF00479 PF02781","PTHR23429 PTHR23429:SF4","glucose-6-phosphate dehydrogenase 4"
"454","Manes.09G180500.v8.1","blue","Manes.09G180500","","carb","(1 of 2) PTHR32227:SF118 - CARBOHYDRATE-BINDING X8 DOMAIN-CONTAINING PROTEIN","GO:0004553 GO:0005975","","","PF00332 PF07983","PTHR32227 PTHR32227:SF118","Carbohydrate-binding X8 domain superfamily protein"
"455","Manes.09G183500.v8.1","tan3","Manes.09G183500","","carb","(1 of 3) K05841 - sterol 3beta-glucosyltransferase [EC:2.4.1.173] Glc b1-3 sterol (E2.4.1.173)","GO:0005975 GO:0008152 GO:0016758 GO:0030259","","K05841","PF00201 PF03033","PTHR11926 PTHR11926:SF308",""
"456","Manes.09G183700.v8.1","sienna3","Manes.09G183700","","carb","(1 of 2) PTHR31682//PTHR31682:SF4 - FAMILY NOT NAMED // UDP-ARABINOPYRANOSE MUTASE 5-RELATED","GO:0016866 GO:0030244","","K13379","PF03214","PTHR31682 PTHR31682:SF4","Alpha-1,4-glucan-protein synthase family protein"
"457","Manes.09G188600.v8.1","pink","Manes.09G188600","PENTOSE-P-PWY; NONOXIPENT-PWY; PWY-5723","carb","(1 of 3) K00616 - transaldolase (E2.2.1.2; talA; talB)","GO:0004801 GO:0005737 GO:0005975 GO:0006098","KOG2772","K00616","PF00923","PTHR10683 PTHR10683:SF6","Aldolase-type TIM barrel family protein"
"458","Manes.10G010100.v8.1","lavenderblush","Manes.10G010100","PWY-3801; PWY-6527; SUCSYN-PWY; PWY-7238; PWY-7343","carb","(1 of 1) PTHR11952//PTHR11952:SF8 - UDP- GLUCOSE PYROPHOSPHORYLASE // UDP-GLUCOSE PYROPHOSPHORYLASE 3","GO:0008152 GO:0070569","","","PF01704","PTHR11952 PTHR11952:SF8","UDP-glucose pyrophosphorylase 3"
"459","Manes.10G018100.v8.1","plum1","Manes.10G018100","PHOTOALL-PWY; CALVIN-PWY","carb","(1 of 2) 3.1.3.37 - Sedoheptulose-bisphosphatase / Sedoheptulose-1;7-bisphosphatase","GO:0005975 GO:0042132 GO:0042578","KOG1458","K01100","PF00316","PTHR11556 PTHR11556:SF2","sedoheptulose-bisphosphatase"
"460","Manes.10G019600.v8.1","indianred4","Manes.10G019600","","carb","(1 of 49) PF00139 - Legume lectin domain (Lectin_legB)","GO:0030246","","","PF00139","PTHR32401 PTHR32401:SF3",""
"461","Manes.10G027700.v8.1","turquoise","Manes.10G027700","","carb","(1 of 3) PTHR27007//PTHR27007:SF27 - FAMILY NOT NAMED // L-TYPE LECTIN-DOMAIN CONTAINING RECEPTOR KINASE S.4","GO:0004672 GO:0004713 GO:0005524 GO:0006468 GO:0030246","KOG1187","","PF00069 PF00139","PTHR27007 PTHR27007:SF27","Concanavalin A-like lectin protein kinase family protein"
"462","Manes.10G032500.v8.1","cyan","Manes.10G032500","PWY-4821","carb","(1 of 3) PTHR10366//PTHR10366:SF323 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // SUBFAMILY NOT NAMED","GO:0003854 GO:0006694 GO:0016616 GO:0055114","","K08678","PF01073","PTHR10366 PTHR10366:SF323",""
"463","Manes.10G034800.v8.1","palevioletred3","Manes.10G034800","","carb","(1 of 1) PTHR31407//PTHR31407:SF10 - FAMILY NOT NAMED // PSBP-LIKE PROTEIN 2; CHLOROPLASTIC","GO:0005509 GO:0009523 GO:0009654 GO:0015979 GO:0019898","","K02717","PF01789","PTHR31407 PTHR31407:SF10","PsbP-like protein 2"
"464","Manes.10G038112.v8.1","darkred","Manes.10G038112","","carb","(1 of 2) PTHR31407//PTHR31407:SF4 - FAMILY NOT NAMED // PSBP-LIKE PROTEIN 1; CHLOROPLASTIC","GO:0005509 GO:0009523 GO:0009654 GO:0015979 GO:0019898","","K02717","PF01789","PTHR31407 PTHR31407:SF4","PsbP-like protein 1"
"465","Manes.10G037700.v8.1","slateblue","Manes.10G037700","PWY-6902","carb","(1 of 1) PTHR22600:SF16 - BETA-HEXOSAMINIDASE 1","GO:0004553 GO:0004563 GO:0005975","","K12373","PF00728 PF14845","PTHR22600 PTHR22600:SF16","beta-hexosaminidase 1"
"466","Manes.10G046600.v8.1","brown","Manes.10G046600","PWY-3801; GLYCOGENSYNTH-PWY; PWY-882; SUCSYN-PWY; PWY-7238; PWY-7343; PWY-5659; GLUCOSE1PMETAB-PWY; PWY-622; PWY66-422","carb","(1 of 2) 5.4.2.2//5.4.2.8 - Phosphoglucomutase (alpha-D-glucose-1;6-bisphosphate-dependent) / Phosphoglucose mutase // Phosphomannomutase / Phosphomannose mutase","GO:0005975 GO:0016868","","","PF02878 PF02879 PF02880","PTHR22573 PTHR22573:SF18","phosphoglucosamine mutase family protein"
"467","Manes.10G051700.v8.1","grey","Manes.10G051700","","carb","(1 of 1) 3.2.1.142 - Limit dextrinase / R-enzyme","GO:0003824 GO:0004553 GO:0005975 GO:0051060","KOG0470","","PF02922 PF11852","PTHR10357 PTHR10357:SF99","limit dextrinase"
"468","Manes.10G054450.v8.1","yellow","Manes.10G054450","PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 3) PTHR11817//PTHR11817:SF33 - PYRUVATE KINASE // SUBFAMILY NOT NAMED","GO:0000287 GO:0004743 GO:0006096 GO:0030955","","K00873","PF00224 PF02887","PTHR11817 PTHR11817:SF33",""
"469","Manes.10G061001.v8.1","sienna4","Manes.10G061001","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS","carb","(1 of 1) 2.4.1.142 - Chitobiosyldiphosphodolichol beta-mannosyltransferase / mannosyltransferase","GO:0016757","","K03842","PF13579 PF13692","PTHR13036 PTHR13036:SF0","UDP-Glycosyltransferase superfamily protein"
"470","Manes.10G070500.v8.1","darkturquoise","Manes.10G070500","","carb","(1 of 1) PTHR30620:SF35 - GLYCOSYL HYDROLASE FAMILY PROTEIN","GO:0004553 GO:0005975","","K01188 K05349","PF00933 PF01915","PTHR30620 PTHR30620:SF35","Glycosyl hydrolase family protein"
"471","Manes.10G071200.v8.1","midnightblue","Manes.10G071200","SUCSYN-PWY; PWY-7238","carb","(1 of 3) 3.1.3.24 - Sucrose-phosphate phosphatase / Sucrose-6-phosphate phosphatase","GO:0000287 GO:0003824 GO:0005986 GO:0008152 GO:0016791 GO:0050307","","","PF08282 PF08472","PTHR12526 PTHR12526:SF2",""
"472","Manes.10G056400.v8.1","turquoise","Manes.10G056400","","carb","(1 of 5) K01176 - alpha-amylase (E3.2.1.1; amyA; malS)","GO:0003824 GO:0004556 GO:0005509 GO:0005975 GO:0043169","KOG0471","K01176","PF00128 PF07821","PTHR10357 PTHR10357:SF153","alpha-amylase-like"
