"","locusName","Description","class","Pathways","Pathways_Desc","GODescription","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"181","Manes.11G085500","(1 of 1) PTHR22572:SF111 - GLUCOSE-1-PHOSPHATE ADENYLYLTRANSFERASE LARGE SUBUNIT 3, CHLOROPLASTIC-RELATED","carbohydrate","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","glycogen biosynthetic process; glucose-1-phosphate adenylyltransferase activity; biosynthetic process; nucleotidyltransferase activity","GO:0005978 GO:0008878 GO:0009058 GO:0016779","KOG1322","K00975","PF00483","PTHR22572 PTHR22572:SF111","Glucose-1-phosphate adenylyltransferase family protein"
"182","Manes.11G089900","(1 of 2) PTHR21139:SF7 - TRIOSEPHOSPHATE ISOMERASE, CHLOROPLASTIC","carbohydrate","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","triose-phosphate isomerase activity; metabolic process","GO:0004807 GO:0008152","KOG1643","K01803","PF00121","PTHR21139 PTHR21139:SF7","triosephosphate isomerase"
"183","Manes.11G102600","(1 of 2) K01899 - succinyl-CoA synthetase alpha subunit (LSC1)","carbohydrate","PWY-5464; PWY-5690","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi)","catalytic activity; metabolic process","GO:0003824 GO:0008152 GO:0048037","","K01899","PF00549 PF02629","PTHR11117 PTHR11117:SF9","Succinyl-CoA ligase, alpha subunit"
"184","Manes.11G103800","(1 of 9) 1.3.5.1 - Succinate dehydrogenase (quinone) / Succinic dehydrogenase","carbohydrate","PWY-4302; PWY-5464; PWY-5690; PWY-561; PWY-7279; PWY-3781","aerobic respiration III (alternative oxidase pathway); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation; aerobic respiration II (cytochrome c) (yeast); aerobic respiration I (cytochrome c)","","","","","","PTHR36708","(1 of 13) 1.3.5.1 - Succinate dehydrogenase (quinone) / Succinic dehydrogenase"
"185","Manes.11G121800","(1 of 2) PTHR10584//PTHR10584:SF168 - SUGAR KINASE // F14I3.3 PROTEIN-RELATED","carbohydrate","PWY-4101; PWY-3801; PWY-621","D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase)","ribokinase activity; D-ribose metabolic process","GO:0004747 GO:0006014","KOG2855","K00847","PF00294","PTHR10584 PTHR10584:SF168","pfkB-like carbohydrate kinase family protein"
"186","Manes.11G158000","(1 of 10) K01623 - fructose-bisphosphate aldolase, class I (ALDO)","carbohydrate","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","fructose-bisphosphate aldolase activity; glycolytic process","GO:0004332 GO:0006096","","K01623","PF00274","PTHR11627",""
"187","Manes.12G015500","(1 of 1) PTHR10836//PTHR10836:SF44//PTHR10836:SF59 - GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE // SUBFAMILY NOT NAMED // GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE GAPC1, CYTOSOLIC","carbohydrate","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding","GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114","KOG0657","K00134","PF00044 PF02800","PTHR10836 PTHR10836:SF59","glyceraldehyde-3-phosphate dehydrogenase C2"
"188","Manes.12G034800","(1 of 2) K01900 - succinyl-CoA synthetase beta subunit (LSC2)","carbohydrate","PWY-5464; PWY-5690","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi)","catalytic activity; ATP binding; metabolic process; metal ion binding","GO:0003824 GO:0005524 GO:0008152 GO:0046872","","K01900","PF00549 PF08442","PTHR11815 PTHR11815:SF1","ATP citrate lyase (ACL) family protein"
"189","Manes.12G039100","(1 of 2) 1.1.1.1//1.1.1.284//1.2.1.1 - Alcohol dehydrogenase / Aldehyde reductase // S-(hydroxymethyl)glutathione dehydrogenase / NAD-linked formaldehyde dehydrogenase // Transferred entry: 1.1.1.284 and 4.4.1.22","carbohydrate","PWY-5486; PWY-6333; PWY-6802; PWY-1801; PWY66-21; PWY66-389","pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; formaldehyde oxidation II (glutathione-dependent); ethanol degradation II; phytol degradation","zinc ion binding; oxidoreductase activity; S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity","GO:0006069 GO:0008270 GO:0016491 GO:0051903 GO:0055114","","K00121","PF00107 PF08240","PTHR11695 PTHR11695:SF269","GroES-like zinc-binding dehydrogenase family protein"
"190","Manes.12G043100","(1 of 1) 1.1.1.1//1.1.1.22 - Alcohol dehydrogenase / Aldehyde reductase // UDP-glucose 6-dehydrogenase","carbohydrate","PWY-7346; PWY-4821; PWY-5486; PWY-6333; PWY-6802; PWY66-21; PWY66-389","UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose); UDP-D-xylose biosynthesis; pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; ethanol degradation II; phytol degradation","zinc ion binding; oxidoreductase activity","GO:0008270 GO:0016491 GO:0055114","","K18857","PF00107 PF08240","PTHR11695 PTHR11695:SF432",""
"191","Manes.12G064500","(1 of 1) 3.1.26.12 - Ribonuclease E / RNase E","carbohydrate","","","RNA binding; RNA nuclease activity; RNA processing; starch binding","GO:0003723 GO:0004540 GO:0006396 GO:2001070","","","PF00686 PF10150","PTHR30001 PTHR30001:SF1","RNAse E/G-like"
"192","Manes.12G067900","(1 of 2) PTHR22572:SF101 - GLUCOSE-1-PHOSPHATE ADENYLYLTRANSFERASE SMALL SUBUNIT, CHLOROPLASTIC","carbohydrate","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","glycogen biosynthetic process; glucose-1-phosphate adenylyltransferase activity; biosynthetic process; nucleotidyltransferase activity","GO:0005978 GO:0008878 GO:0009058 GO:0016779","KOG1322","K00975","PF00483","PTHR22572 PTHR22572:SF101","ADP glucose pyrophosphorylase  1"
"193","Manes.12G074600","(1 of 4) 4.2.1.3 - Aconitate hydratase / Citrate(isocitrate) hydro-lyase","carbohydrate","GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561","glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation","metabolic process","GO:0008152","","K01681","PF00330 PF00694","PTHR11670 PTHR11670:SF37","aconitase 3"
"194","Manes.12G078500","(1 of 1) PTHR31352:SF5 - BETA-AMYLASE 5-RELATED","carbohydrate","PWY-6724","starch degradation II","polysaccharide catabolic process; beta-amylase activity","GO:0000272 GO:0016161","","K01177","PF01373","PTHR31352 PTHR31352:SF5","beta-amylase 5"
"195","Manes.12G119601","(1 of 1) PTHR19443//PTHR19443:SF18 - HEXOKINASE // HEXOKINASE-LIKE 2 PROTEIN-RELATED","carbohydrate","","","intracellular glucose homeostasis; hexokinase activity; ATP binding; D-glucose binding; carbohydrate metabolic process; phosphotransferase activity, alcohol group as acceptor; carbohydrate phosphorylation","GO:0001678 GO:0004396 GO:0005524 GO:0005536 GO:0005975 GO:0016773 GO:0046835","","","PF03727","PTHR19443 PTHR19443:SF18",""
"196","Manes.12G120100","(1 of 3) 4.1.1.32 - Phosphoenolpyruvate carboxykinase (GTP) / Phosphopyruvate carboxylase","carbohydrate","PWY66-399; PWY-7117; GLUCONEO-PWY; PWY-561","gluconeogenesis III; C4 photosynthetic carbon assimilation cycle, PEPCK type; gluconeogenesis I; superpathway of glyoxylate cycle and fatty acid degradation","phosphoenolpyruvate carboxykinase (ATP) activity; ATP binding; gluconeogenesis","GO:0004612 GO:0005524 GO:0006094","","K01610","PF01293","PTHR30031 PTHR30031:SF4",""
"197","Manes.12G128200","(1 of 2) PTHR13697//PTHR13697:SF21 - PHOSPHOFRUCTOKINASE // SUBFAMILY NOT NAMED","carbohydrate","PWY-5464; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","6-phosphofructokinase activity; fructose 6-phosphate metabolic process; glycolytic process","GO:0003872 GO:0006002 GO:0006096","KOG2440","K00850","PF00365","PTHR13697 PTHR13697:SF21","phosphofructokinase 5"
"198","Manes.12G142500","(1 of 1) PTHR32438//PTHR32438:SF5 - FAMILY NOT NAMED // 4-ALPHA-GLUCANOTRANSFERASE DPE1, CHLOROPLASTIC/AMYLOPLASTIC","carbohydrate","PWY-6724; PWY-7238","starch degradation II; sucrose biosynthesis II","4-alpha-glucanotransferase activity; carbohydrate metabolic process","GO:0004134 GO:0005975","","K00705","PF02446","PTHR32438 PTHR32438:SF5","disproportionating enzyme"
"199","Manes.13G015200","(1 of 8) K00134 - glyceraldehyde 3-phosphate dehydrogenase (GAPDH, gapA)","carbohydrate","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding","GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114","KOG0657","K00134","PF00044 PF02800","PTHR10836 PTHR10836:SF59","glyceraldehyde-3-phosphate dehydrogenase C2"
"200","Manes.13G026800","(1 of 2) 2.7.9.4 - Alpha-glucan, water dikinase / Starch-related R1 protein","carbohydrate","PWY-6724","starch degradation II","ATP binding; kinase activity; phosphorylation","GO:0005524 GO:0016301 GO:0016310","","K08244","PF01326","PTHR22931 PTHR22931:SF1","Pyruvate phosphate dikinase, PEP/pyruvate binding domain"
"201","Manes.13G037000","(1 of 2) K01900 - succinyl-CoA synthetase beta subunit (LSC2)","carbohydrate","PWY-5464; PWY-5690","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi)","catalytic activity; ATP binding; metabolic process; metal ion binding","GO:0003824 GO:0005524 GO:0008152 GO:0046872","","K01900","PF00549 PF08442","PTHR11815 PTHR11815:SF1","ATP citrate lyase (ACL) family protein"
"202","Manes.13G038500","(1 of 2) 1.2.1.1 - Transferred entry: 1.1.1.284 and 4.4.1.22","carbohydrate","PWY-5486; PWY-6333; PWY-6802; PWY-1801; PWY66-21; PWY66-389","pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; formaldehyde oxidation II (glutathione-dependent); ethanol degradation II; phytol degradation","zinc ion binding; oxidoreductase activity; S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity","GO:0006069 GO:0008270 GO:0016491 GO:0051903 GO:0055114","","K00121","PF00107 PF08240","PTHR11695 PTHR11695:SF269","GroES-like zinc-binding dehydrogenase family protein"
"203","Manes.13G058900","(1 of 2) PTHR22572:SF101 - GLUCOSE-1-PHOSPHATE ADENYLYLTRANSFERASE SMALL SUBUNIT, CHLOROPLASTIC","carbohydrate","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","glycogen biosynthetic process; glucose-1-phosphate adenylyltransferase activity; biosynthetic process; nucleotidyltransferase activity","GO:0005978 GO:0008878 GO:0009058 GO:0016779","KOG1322","K00975","PF00483","PTHR22572 PTHR22572:SF101","ADP glucose pyrophosphorylase  1"
"204","Manes.13G070400","(1 of 4) 4.2.1.3 - Aconitate hydratase / Citrate(isocitrate) hydro-lyase","carbohydrate","GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561","glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation","metabolic process","GO:0008152","","K01681","PF00330 PF00694","PTHR11670 PTHR11670:SF37","aconitase 3"
"205","Manes.13G091200","(1 of 5) 5.4.2.11 - Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent) / Phosphoglyceromutase","carbohydrate","PWY66-399; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; glycolysis III (from glucose); homolactic fermentation","phosphoglycerate mutase activity; glycolytic process; intramolecular phosphotransferase activity","GO:0004619 GO:0006096 GO:0016868","KOG0235","","PF00300","PTHR11931 PTHR11931:SF6",""
"206","Manes.13G091700","(1 of 1) PTHR11921:SF23 - SUCCINATE DEHYDROGENASE [UBIQUINONE] IRON-SULFUR SUBUNIT 3, MITOCHONDRIAL","carbohydrate","PWY-4302; PWY-5464; PWY-5690; PWY-561; PWY-7279; PWY-3781","aerobic respiration III (alternative oxidase pathway); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation; aerobic respiration II (cytochrome c) (yeast); aerobic respiration I (cytochrome c)","tricarboxylic acid cycle; electron transfer activity; oxidoreductase activity; iron-sulfur cluster binding","GO:0006099 GO:0009055 GO:0016491 GO:0051536 GO:0055114","KOG3049","K00235","PF13085 PF13534","PTHR11921 PTHR11921:SF23","succinate dehydrogenase 2-3"
"207","Manes.13G098500","(1 of 2) PTHR13697//PTHR13697:SF21 - PHOSPHOFRUCTOKINASE // SUBFAMILY NOT NAMED","carbohydrate","PWY-5464; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","6-phosphofructokinase activity; fructose 6-phosphate metabolic process; glycolytic process","GO:0003872 GO:0006002 GO:0006096","KOG2440","K00850","PF00365","PTHR13697 PTHR13697:SF21","phosphofructokinase 5"
"208","Manes.13G105000","(1 of 3) 4.1.1.32//4.1.1.49 - Phosphoenolpyruvate carboxykinase (GTP) / Phosphopyruvate carboxylase // Phosphoenolpyruvate carboxykinase (ATP) / Phosphopyruvate carboxylase","carbohydrate","PWY66-399; PWY-7117; GLUCONEO-PWY; PWY-561","gluconeogenesis III; C4 photosynthetic carbon assimilation cycle, PEPCK type; gluconeogenesis I; superpathway of glyoxylate cycle and fatty acid degradation","phosphoenolpyruvate carboxykinase (ATP) activity; ATP binding; gluconeogenesis","GO:0004612 GO:0005524 GO:0006094","","K01610","PF01293","PTHR30031 PTHR30031:SF4",""
"209","Manes.13G105280","(1 of 1) PTHR12526//PTHR12526:SF382 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED","carbohydrate","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","","","","","PF08323","PTHR12526 PTHR12526:SF382","UDP-Glycosyltransferase superfamily protein"
"210","Manes.13G106000","(1 of 1) PTHR11540//PTHR11540:SF27 - MALATE AND LACTATE DEHYDROGENASE // MALATE DEHYDROGENASE, GLYOXYSOMAL-RELATED","carbohydrate","PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561","gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation","malate metabolic process; oxidoreductase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity","GO:0006108 GO:0016491 GO:0016616 GO:0019752 GO:0030060 GO:0055114","","K00026","PF00056 PF02866","PTHR11540 PTHR11540:SF27","peroxisomal NAD-malate dehydrogenase 1"
"211","Manes.14G005400","(1 of 2) PTHR19443:SF6 - HEXOKINASE-3-RELATED","carbohydrate","PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY","sucrose degradation III (sucrose invertase); sucrose biosynthesis II; glycolysis III (from glucose); glucose and glucose-1-phosphate degradation; homolactic fermentation","intracellular glucose homeostasis; hexokinase activity; ATP binding; D-glucose binding; carbohydrate metabolic process; phosphotransferase activity, alcohol group as acceptor; carbohydrate phosphorylation","GO:0001678 GO:0004396 GO:0005524 GO:0005536 GO:0005975 GO:0016773 GO:0046835","","K00844","PF00349 PF03727","PTHR19443 PTHR19443:SF6","hexokinase-like 1"
"212","Manes.14G007380","(1 of 1) PTHR11817:SF28 - PLASTIDIAL PYRUVATE KINASE 4, CHLOROPLASTIC","carbohydrate","PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding","GO:0000287 GO:0004743 GO:0006096 GO:0030955","KOG2323","K00873","PF00224","PTHR11817 PTHR11817:SF28","pyruvate kinase family protein"
"213","Manes.14G007500","(1 of 2) PTHR10836//PTHR10836:SF46 - GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE // SUBFAMILY NOT NAMED","carbohydrate","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding","GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114","KOG0657","K00134","PF00044 PF02800","PTHR10836 PTHR10836:SF46","glyceraldehyde-3-phosphate dehydrogenase of plastid 2"
"214","Manes.14G008900","(1 of 2) PTHR11406//PTHR11406:SF9 - PHOSPHOGLYCERATE KINASE // PHOSPHOGLYCERATE KINASE","carbohydrate","PWY66-399; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","phosphoglycerate kinase activity; glycolytic process","GO:0004618 GO:0006096","","K00927","PF00162","PTHR11406 PTHR11406:SF9","phosphoglycerate kinase"
"215","Manes.14G009000","(1 of 2) PTHR11406//PTHR11406:SF8 - PHOSPHOGLYCERATE KINASE // PHOSPHOGLYCERATE KINASE 1, CHLOROPLASTIC-RELATED","carbohydrate","PWY66-399; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","phosphoglycerate kinase activity; glycolytic process","GO:0004618 GO:0006096","","K00927","PF00162","PTHR11406 PTHR11406:SF8","phosphoglycerate kinase 1"
"216","Manes.14G019870","(1 of 2) PTHR11817//PTHR11817:SF2 - PYRUVATE KINASE // PLASTIDIAL PYRUVATE KINASE 2","carbohydrate","PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding","GO:0000287 GO:0004743 GO:0006096 GO:0030955","","K00873","PF00224 PF02887","PTHR11817 PTHR11817:SF2","plastidic pyruvate kinase beta subunit 1"
"217","Manes.14G031100","(1 of 2) 5.4.2.5 - Phosphoglucomutase (glucose-cofactor) / Glucose-1-phosphate phosphotransferase","carbohydrate","PWY-3801; GLYCOGENSYNTH-PWY; SUCSYN-PWY; PWY-7238; PWY-7343; GLUCOSE1PMETAB-PWY; PWY-622; PWY66-422","sucrose degradation II (sucrose synthase); glycogen biosynthesis I (from ADP-D-Glucose); sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis; glucose and glucose-1-phosphate degradation; starch biosynthesis; D-galactose degradation V (Leloir pathway)","carbohydrate metabolic process; intramolecular phosphotransferase activity","GO:0005975 GO:0016868 GO:0071704","","K01835","PF00408 PF02878 PF02879 PF02880","PTHR22573 PTHR22573:SF2","phosphoglucomutase"
"218","Manes.14G033200","(1 of 1) PTHR11902//PTHR11902:SF18 - ENOLASE // SUBFAMILY NOT NAMED","carbohydrate","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","phosphopyruvate hydratase complex; magnesium ion binding; phosphopyruvate hydratase activity; glycolytic process","GO:0000015 GO:0000287 GO:0004634 GO:0006096","","","PF00113 PF03952","PTHR11902 PTHR11902:SF18",""
"219","Manes.14G038800","(1 of 1) PTHR13697//PTHR13697:SF33 - PHOSPHOFRUCTOKINASE // 6-PHOSPHOFRUCTOKINASE 4, CHLOROPLASTIC","carbohydrate","PWY-5464; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","6-phosphofructokinase activity; ATP binding; fructose 6-phosphate metabolic process; glycolytic process","GO:0003872 GO:0005524 GO:0006002 GO:0006096","","K00850","PF00365","PTHR13697 PTHR13697:SF33","phosphofructokinase 4"
"220","Manes.14G054600","(1 of 8) K00134 - glyceraldehyde 3-phosphate dehydrogenase (GAPDH, gapA)","carbohydrate","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding","GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114","KOG0657","K00134","PF00044 PF02800","PTHR10836 PTHR10836:SF59","glyceraldehyde-3-phosphate dehydrogenase C2"
"221","Manes.14G069501","(1 of 9) 1.3.5.1 - Succinate dehydrogenase (quinone) / Succinic dehydrogenase","carbohydrate","PWY-4302; PWY-5464; PWY-5690; PWY-561; PWY-7279; PWY-3781","aerobic respiration III (alternative oxidase pathway); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation; aerobic respiration II (cytochrome c) (yeast); aerobic respiration I (cytochrome c)","","","","","","PTHR36041",""
"222","Manes.14G078500","(1 of 2) PTHR11540//PTHR11540:SF29 - MALATE AND LACTATE DEHYDROGENASE // SUBFAMILY NOT NAMED","carbohydrate","PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561","gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation","3-beta-hydroxy-delta5-steroid dehydrogenase (NAD+) activity; malate metabolic process; steroid biosynthetic process; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity","GO:0003854 GO:0006108 GO:0006694 GO:0016616 GO:0019752 GO:0030060 GO:0055114","","K00026","PF01073 PF02866","PTHR11540 PTHR11540:SF29","malate dehydrogenase"
"223","Manes.14G086300","(1 of 1) PTHR18968:SF121 - PYRUVATE DECARBOXYLASE 1-RELATED","carbohydrate","PWY-5486; PWY-6330","pyruvate fermentation to ethanol II; acetaldehyde biosynthesis II","magnesium ion binding; catalytic activity; carboxy-lyase activity; thiamine pyrophosphate binding","GO:0000287 GO:0003824 GO:0016831 GO:0030976","","K01568","PF00205 PF02775 PF02776","PTHR18968 PTHR18968:SF121",""
"224","Manes.14G100900","(1 of 5) K00627 - pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) (DLAT, aceF, pdhC)","carbohydrate","PWY-5173; PWY-5464; PYRUVDEHYD-PWY","superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA","metabolic process; acyltransferase activity","GO:0008152 GO:0016746","KOG0557","K00627","PF00198 PF00364 PF02817","PTHR23151 PTHR23151:SF61","2-oxoacid dehydrogenases acyltransferase family protein"
