"","locusName","Pathways","Pathways_Desc","GODescription","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"19092","Manes.10G127950","","","protein binding; signal transduction; ADP binding",NA,"(1 of 36) PTHR11017//PTHR11017:SF162 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0005515 GO:0007165 GO:0043531","","","PF00931 PF13676","PTHR11017 PTHR11017:SF162",""
"19093","Manes.10G127975","","","",NA,"(1 of 2) PTHR11017:SF160 - TIR-NBS-LRR CLASS DISEASE RESISTANCE PROTEIN","","","","","PTHR11017 PTHR11017:SF160","Leucine-rich repeat (LRR) family protein"
"19094","Manes.10G128000","","","protein binding; ADP binding",NA,"(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0005515 GO:0043531","KOG4658","","PF00931","PTHR23155 PTHR23155:SF563",""
"19095","Manes.10G128001","","","",NA,"(1 of 2) PTHR11017:SF160 - TIR-NBS-LRR CLASS DISEASE RESISTANCE PROTEIN","","","","","PTHR11017 PTHR11017:SF160","Leucine-rich repeat (LRR) family protein"
"19096","Manes.10G128051","","","protein binding",NA,"(1 of 69) KOG4412 - 26S proteasome regulatory complex; subunit PSMD10","GO:0005515","KOG4412","","PF12796","PTHR24177 PTHR24177:SF17",""
"19097","Manes.10G128100","","","ADP binding",NA,"(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0043531","KOG4658","","PF00931","PTHR23155 PTHR23155:SF563",""
"19098","Manes.10G128103","","","",NA,"(1 of 1) PTHR23155:SF530 - ADENYLATE CYCLASE","","","","","PTHR23155 PTHR23155:SF530",""
"19099","Manes.10G128106","","","ADP binding",NA,"(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0043531","","","PF00931","PTHR23155 PTHR23155:SF563",""
"19100","Manes.10G128109","","","ADP binding",NA,"(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0043531","","","PF00931","PTHR23155 PTHR23155:SF563",""
"19101","Manes.10G128112","","","",NA,"","","","","","PTHR23155",""
"19102","Manes.10G128200","","","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation",NA,"(1 of 24) PF00069//PF08263 - Protein kinase domain (Pkinase) // Leucine rich repeat N-terminal domain (LRRNT_2)","GO:0004672 GO:0004713 GO:0005524 GO:0006468","KOG1187","","PF00069 PF08263","PTHR27000 PTHR27000:SF114",""
"19103","Manes.10G128400","","","nutrient reservoir activity",NA,"(1 of 25) PF00190 - Cupin (Cupin_1)","GO:0045735","","","PF00190","PTHR31189 PTHR31189:SF0",""
"19104","Manes.10G128500","","","nutrient reservoir activity",NA,"(1 of 25) PF00190 - Cupin (Cupin_1)","GO:0045735","","","PF00190","PTHR31189 PTHR31189:SF0",""
"19105","Manes.10G128600","","","oxidoreductase activity; NAD binding",NA,"(1 of 1) PTHR22981//PTHR22981:SF54 - 3-HYDROXYISOBUTYRATE DEHYDROGENASE-RELATED // 3-HYDROXYISOBUTYRATE DEHYDROGENASE-LIKE 2; MITOCHONDRIAL-RELATED","GO:0016491 GO:0051287 GO:0055114","KOG0409","","PF03807 PF14833","PTHR22981 PTHR22981:SF54","6-phosphogluconate dehydrogenase family protein"
"19106","Manes.10G128700","","","protein binding",NA,"(1 of 2) PTHR32278//PTHR32278:SF2 - FAMILY NOT NAMED // F-BOX PROTEIN PP2-B13-RELATED","GO:0005515","","","PF14299","PTHR32278 PTHR32278:SF2","phloem protein 2-B15"
"19107","Manes.10G128800","","","protein kinase activity; ATP binding; protein phosphorylation",NA,"(1 of 1569) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase","GO:0004672 GO:0005524 GO:0006468","KOG1187","","PF07714","PTHR27001",""
"19108","Manes.10G128900","PWY-7601; PWY-6433; PWY-7619; PWY-5080; PWY-7036; PWY-6598","arachidonate biosynthesis IV (8-detaturase, lower eukaryotes); hydroxylated fatty acid biosynthesis (plants); juniperonate biosynthesis; very long chain fatty acid biosynthesis I; very long chain fatty acid biosynthesis II; sciadonate biosynthesis","fatty acid biosynthetic process; lipid biosynthetic process; membrane; acyltransferase activity, transferring groups other than amino-acyl groups",NA,"(1 of 2) PTHR31561:SF20 - 3-KETOACYL-COA SYNTHASE 7","GO:0006633 GO:0008610 GO:0016020 GO:0016747","","K15397","PF08541","PTHR31561 PTHR31561:SF20","3-ketoacyl-CoA synthase 7"
"19109","Manes.10G129000","PWY-6351; PWY-6352","D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis; 3-phosphoinositide biosynthesis","ATP binding; 1-phosphatidylinositol-4-phosphate 5-kinase activity; phosphatidylinositol metabolic process",NA,"(1 of 2) PTHR23086//PTHR23086:SF25 - PHOSPHATIDYLINOSITOL-4-PHOSPHATE 5-KINASE // PHOSPHATIDYLINOSITOL 4-PHOSPHATE 5-KINASE 7-RELATED","GO:0005524 GO:0016307 GO:0016308 GO:0046488","","K00889","PF01504 PF02493","PTHR23086 PTHR23086:SF25","Phosphatidylinositol-4-phosphate 5-kinase family protein"
"19110","Manes.10G129101","","","",NA,"","","","","","",""
"19111","Manes.10G129200","","","",NA,"(1 of 2) PTHR37707:SF1 - MATERNAL EFFECT EMBRYO ARREST 9 PROTEIN","","","","","PTHR37707 PTHR37707:SF1","maternal effect embryo arrest 9"
"19112","Manes.10G129300","","","transport",NA,"(1 of 4) PTHR22811//PTHR22811:SF68 - TRANSMEMBRANE EMP24 DOMAIN-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0006810 GO:0016021","KOG1691","","PF01105","PTHR22811 PTHR22811:SF68","emp24/gp25L/p24 family/GOLD family protein"
"19113","Manes.10G129316","","","protein kinase activity; ATP binding; protein phosphorylation",NA,"(1 of 1569) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase","GO:0004672 GO:0005524 GO:0006468","","","PF00069","PTHR27000 PTHR27000:SF74",""
"19114","Manes.10G129400","","","protein binding",NA,"(1 of 85) PF00560//PF08263//PF13855 - Leucine Rich Repeat (LRR_1) // Leucine rich repeat N-terminal domain (LRRNT_2) // Leucine rich repeat (LRR_8)","GO:0005515","KOG0472","","PF00560 PF08263 PF13855","PTHR27004",""
"19115","Manes.10G129500","","","protein binding",NA,"(1 of 25) PF08263//PF13855 - Leucine rich repeat N-terminal domain (LRRNT_2) // Leucine rich repeat (LRR_8)","GO:0005515","KOG0472","","PF08263 PF13855","PTHR27004 PTHR27004:SF27",""
"19116","Manes.10G129700","","","",NA,"(1 of 1) PTHR33826//PTHR33826:SF4 - FAMILY NOT NAMED // F20B24.21","","","","","PTHR33826 PTHR33826:SF4",""
"19117","Manes.10G129800","","","serine-type endopeptidase activity; proteolysis",NA,"(1 of 1) PTHR22936//PTHR22936:SF29 - RHOMBOID-RELATED // RHOMBOID-LIKE PROTEIN 10","GO:0004252 GO:0006508 GO:0016021","","","PF04511","PTHR22936 PTHR22936:SF29","RHOMBOID-like protein 10"
"19118","Manes.10G129900","","","DNA binding; protein dimerization activity",NA,"(1 of 88) PF00319 - SRF-type transcription factor (DNA-binding and dimerisation domain) (SRF-TF)","GO:0003677 GO:0046983","","","PF00319","PTHR11945","AGAMOUS-like 81"
"19119","Manes.10G130000","PWY-7511","protein ubiquitylation","protein binding; zinc ion binding",NA,"(1 of 1) PTHR22763:SF39 - RING/U-BOX DOMAIN-CONTAINING PROTEIN","GO:0005515 GO:0008270","KOG1493","K11982","PF13639","PTHR22763 PTHR22763:SF39","RING/U-box superfamily protein"
"19120","Manes.10G130100","","","",NA,"(1 of 10) PF11891 - Domain of unknown function (DUF3411) (DUF3411)","","","","PF11891","PTHR31038 PTHR31038:SF2","Protein of unknown function (DUF3411)"
"19121","Manes.10G130400","PWY-6733; PWY-7601; PWY-1121; PWY-321; PWY-6433; PWY-5136; PWY-561; PWY-5885; PWY-5989; PWY-5147; PWY-5971; PWY-5156; PWY-5143; PWY-7619; PWY-5080; PWY-7036; PWY-6598; PWY-6803","sporopollenin precursors biosynthesis; arachidonate biosynthesis IV (8-detaturase, lower eukaryotes); suberin monomers biosynthesis; cutin biosynthesis; hydroxylated fatty acid biosynthesis (plants); fatty acid &beta;-oxidation II (peroxisome); superpathway of glyoxylate cycle and fatty acid degradation; wax esters biosynthesis II; stearate biosynthesis II (bacteria and plants); oleate biosynthesis I (plants); palmitate biosynthesis II (bacteria and plants); superpathway of fatty acid biosynthesis II (plant); long-chain fatty acid activation; juniperonate biosynthesis; very long chain fatty acid biosynthesis I; very long chain fatty acid biosynthesis II; sciadonate biosynthesis; phosphatidylcholine acyl editing","",NA,"(1 of 3) 2.3.1.199//6.2.1.2 - Very-long-chain 3-oxoacyl-CoA synthase / Very-long-chain beta-ketoacyl-CoA synthase // Butyrate--CoA ligase / Fatty acid thiokinase (medium chain)","GO:0016021","KOG3071","","PF01151","PTHR11157 PTHR11157:SF13","GNS1/SUR4 membrane protein family"
"19122","Manes.10G130433","","","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation",NA,"(1 of 24) PF00069//PF08263 - Protein kinase domain (Pkinase) // Leucine rich repeat N-terminal domain (LRRNT_2)","GO:0004672 GO:0004713 GO:0005524 GO:0006468","KOG1187","","PF00069 PF08263","PTHR27000 PTHR27000:SF114",""
"19123","Manes.10G130500","PWY-7601; PWY-6433; PWY-7619; PWY-5080; PWY-7036; PWY-6598","arachidonate biosynthesis IV (8-detaturase, lower eukaryotes); hydroxylated fatty acid biosynthesis (plants); juniperonate biosynthesis; very long chain fatty acid biosynthesis I; very long chain fatty acid biosynthesis II; sciadonate biosynthesis","",NA,"(1 of 3) PTHR11157:SF13 - PROTEIN ELO-8; ISOFORM A","GO:0016021","KOG3071","","PF01151","PTHR11157 PTHR11157:SF13",""
"19124","Manes.10G130600","","","GTPase activity; GTP binding",NA,"(1 of 1) PTHR11566:SF78 - DYNAMIN-LIKE PROTEIN ARC5","GO:0003924 GO:0005525","KOG0446","","PF00350","PTHR11566 PTHR11566:SF78","P-loop containing nucleoside triphosphate hydrolases superfamily protein"
"19125","Manes.10G130700","","","",NA,"(1 of 36) PF00314 - Thaumatin family (Thaumatin)","","","","PF00314","PTHR31048 PTHR31048:SF34",""
"19126","Manes.10G130800","","","",NA,"(1 of 7) PF13191 - AAA ATPase domain (AAA_16)","","KOG4658","","PF13191","PTHR23155 PTHR23155:SF563",""
"19127","Manes.10G130900","","","electron transfer activity",NA,"(1 of 57) PF02298 - Plastocyanin-like domain (Cu_bind_like)","GO:0009055","","","PF02298","PTHR33021 PTHR33021:SF40","early nodulin-like protein 22"
"19128","Manes.10G131000","","","electron transfer activity",NA,"(1 of 57) PF02298 - Plastocyanin-like domain (Cu_bind_like)","GO:0009055","","","PF02298","PTHR33021","early nodulin-like protein 22"
"19129","Manes.10G131100","","","electron transfer activity",NA,"(1 of 57) PF02298 - Plastocyanin-like domain (Cu_bind_like)","GO:0009055","","","PF02298","PTHR33021","early nodulin-like protein 22"
"19130","Manes.10G131200","","","",NA,"","","","","","",""
"19131","Manes.10G131300","","","metal ion transport; metal ion binding",NA,"(1 of 3) PTHR22814//PTHR22814:SF113 - COPPER TRANSPORT PROTEIN ATOX1-RELATED // HEAVY-METAL-ASSOCIATED DOMAIN-CONTAINING PROTEIN-RELATED","GO:0030001 GO:0046872","KOG1603","","PF00403","PTHR22814 PTHR22814:SF113",""
"19132","Manes.10G131400","","","metabolic process; hexosyltransferase activity",NA,"(1 of 1) PTHR11926:SF207 - UDP-GLYCOSYLTRANSFERASE SUPERFAMILY PROTEIN","GO:0008152 GO:0016758","","","","PTHR11926 PTHR11926:SF207","UDP-Glycosyltransferase superfamily protein"
"19133","Manes.10G131600","","","regulatory ncRNA-mediated gene silencing",NA,"(1 of 6) PTHR21596:SF12 - PROTEIN SUPPRESSOR OF GENE SILENCING 3","GO:0031047","","","PF03468 PF03470","PTHR21596 PTHR21596:SF12",""
"19134","Manes.10G131603","","","",NA,"","","","","","",""
"19135","Manes.10G131606","","","DNA-binding transcription factor activity; regulation of DNA-templated transcription; zinc ion binding; sequence-specific DNA binding",NA,"(1 of 4) PTHR10071//PTHR10071:SF159 - TRANSCRIPTION FACTOR GATA  GATA BINDING FACTOR // GATA TRANSCRIPTION FACTOR 26-RELATED","GO:0003700 GO:0006355 GO:0008270 GO:0043565","","","PF00320","PTHR10071 PTHR10071:SF159",""
"19136","Manes.10G131700","","","",NA,"","","","","","PTHR35548 PTHR35548:SF1",""
"19137","Manes.10G131800","","","",NA,"(1 of 3) PTHR21229//PTHR21229:SF28 - LUNG SEVEN TRANSMEMBRANE RECEPTOR // LUNG SEVEN TRANSMEMBRANE RECEPTOR-LIKE PROTEIN","GO:0016021","","","PF06814","PTHR21229 PTHR21229:SF28","Lung seven transmembrane receptor family protein"
"19138","Manes.10G132000","","","",NA,"(1 of 1) K14294 - partner of Y14 and mago (WIBG; PYM)","","KOG4325","K14294","PF09282","PTHR22959 PTHR22959:SF0","partner of Y14-MAGO"
"19139","Manes.10G132100","PWY-1081","homogalacturonan degradation","enzyme inhibitor activity; cell wall; pectinesterase activity; cell wall modification",NA,"(1 of 5) PTHR31707//PTHR31707:SF9 - FAMILY NOT NAMED // PECTINESTERASE 4-RELATED","GO:0004857 GO:0005618 GO:0030599 GO:0042545","","K01051","PF01095 PF04043","PTHR31707 PTHR31707:SF9","Plant invertase/pectin methylesterase inhibitor superfamily"
"19140","Manes.10G132200","","","intracellular anatomical structure; ribosome biogenesis",NA,"(1 of 2) K14815 - mRNA turnover protein 4 (MRT4)","GO:0005622 GO:0042254","KOG0816","K14815","PF00466","PTHR21141 PTHR21141:SF37","Ribosomal protein L10 family protein"
"19141","Manes.10G132300","","","",NA,"(1 of 9) PF07800 - Protein of unknown function (DUF1644) (DUF1644)","","","","PF07800","PTHR31197 PTHR31197:SF12","Protein of unknown function (DUF1644)"
"19142","Manes.10G132400","","","protein dimerization activity",NA,"(1 of 3) PTHR11514:SF29 - BASIC HELIX-LOOP-HELIX (BHLH) DNA-BINDING SUPERFAMILY PROTEIN-RELATED","GO:0046983","","","PF00010","PTHR11514 PTHR11514:SF29","basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"19143","Manes.10G132600","","","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation",NA,"(1 of 2) PTHR24361//PTHR24361:SF409 - MITOGEN-ACTIVATED KINASE KINASE KINASE // SUBFAMILY NOT NAMED","GO:0004672 GO:0004713 GO:0005524 GO:0006468","KOG0198","K13414","PF00069","PTHR24361 PTHR24361:SF409",""
"19144","Manes.10G132700","","","",NA,"","","","","","PTHR34112 PTHR34112:SF3",""
"19145","Manes.10G132800","","","DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding",NA,"(1 of 7) PTHR31429//PTHR31429:SF1 - FAMILY NOT NAMED // WRKY FAMILY TRANSCRIPTION FACTOR-RELATED","GO:0003700 GO:0006355 GO:0043565","","","PF03106","PTHR31429 PTHR31429:SF1","WRKY DNA-binding protein 9"
"19146","Manes.10G132900","","","",NA,"(1 of 1) K13114 - pinin (PNN)","","KOG3756","K13114","PF04696","PTHR12707","protein-protein interaction regulator family protein"
"19147","Manes.10G133000","","","",NA,"(1 of 10) PTHR31234:SF8 - EXPRESSED PROTEIN","","","","PF03168","PTHR31234 PTHR31234:SF8","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family"
"19148","Manes.10G133100","","","protein kinase activity; protein tyrosine kinase activity; ubiquitin-protein transferase activity; protein binding; ATP binding; protein phosphorylation",NA,"(1 of 1) PF00069//PF00240//PF00632//PF14531 - Protein kinase domain (Pkinase) // Ubiquitin family (ubiquitin) // HECT-domain (ubiquitin-transferase) (HECT) // Kinase-like (Kinase-like)","GO:0004672 GO:0004713 GO:0004842 GO:0005515 GO:0005524 GO:0006468","KOG0198","K13414","PF00240 PF00632 PF14531","PTHR24361 PTHR24361:SF318",""
"19149","Manes.10G133200","","","protein binding",NA,"(1 of 5) PF07734//PF12937 - F-box associated (FBA_1) // F-box-like (F-box-like)","GO:0005515","","","PF07734 PF12937","PTHR32133 PTHR32133:SF107",""
"19150","Manes.10G133203","","","protein binding",NA,"(1 of 29) PF00646//PF07734 - F-box domain (F-box) // F-box associated (FBA_1)","GO:0005515","","","PF00646 PF07734","PTHR32133 PTHR32133:SF107",""
"19151","Manes.10G133500","","","",NA,"(1 of 1) K12181 - COP9 signalosome complex subunit 8 (COPS8; CSN8)","","KOG4414","K12181","PF10075","PTHR13339","COP9 signalosome, subunit CSN8"
"19152","Manes.10G133650","","","metabolic process; hexosyltransferase activity",NA,"(1 of 9) PTHR11926//PTHR11926:SF118 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED","GO:0008152 GO:0016758","","","PF00201","PTHR11926 PTHR11926:SF118","UDP-glucosyl transferase 88A1"
"19153","Manes.10G133653","","","ADP binding",NA,"(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0043531","KOG4658","","PF00931","PTHR23155 PTHR23155:SF563",""
"19154","Manes.10G133656","","","metabolic process; hexosyltransferase activity",NA,"(1 of 9) PTHR11926//PTHR11926:SF118 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED","GO:0008152 GO:0016758","","","PF00201","PTHR11926 PTHR11926:SF118","UDP-glucosyl transferase 88A1"
"19155","Manes.10G133659","","","",NA,"","","","","","PTHR23155",""
"19156","Manes.10G133662","","","metabolic process; hexosyltransferase activity",NA,"(1 of 9) PTHR11926//PTHR11926:SF118 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED","GO:0008152 GO:0016758","","","PF00201","PTHR11926 PTHR11926:SF118","UDP-glucosyl transferase 88A1"
"19157","Manes.10G133665","","","",NA,"(1 of 45) KOG1947 - Leucine rich repeat proteins; some proteins contain F-box","","KOG1947","","","PTHR23155 PTHR23155:SF563",""
"19158","Manes.10G133668","","","ADP binding",NA,"(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0043531","","","PF00931","PTHR23155 PTHR23155:SF563",""
"19159","Manes.10G133671","","","protein binding; ADP binding",NA,"(1 of 23) PF00931//PF13855 - NB-ARC domain (NB-ARC) // Leucine rich repeat (LRR_8)","GO:0005515 GO:0043531","KOG1947","","PF00931 PF13855","PTHR23155 PTHR23155:SF563",""
"19160","Manes.10G133674","","","",NA,"","","","","","",""
"19161","Manes.10G133677","","","",NA,"(1 of 8) PF10075 - CSN8/PSMD8/EIF3K family (CSN8_PSD8_EIF3K)","","","","PF10075","PTHR13339",""
"19162","Manes.10G133680","","","metabolic process; hexosyltransferase activity",NA,"(1 of 9) PTHR11926//PTHR11926:SF118 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED","GO:0008152 GO:0016758","","","PF00201","PTHR11926 PTHR11926:SF118","UDP-glucosyl transferase 88A1"
"19163","Manes.10G133683","","","protein binding; ADP binding",NA,"(1 of 23) PF00931//PF13855 - NB-ARC domain (NB-ARC) // Leucine rich repeat (LRR_8)","GO:0005515 GO:0043531","KOG4658","","PF00931 PF13855","PTHR23155 PTHR23155:SF563",""
"19164","Manes.10G133686","","","ADP binding",NA,"(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0043531","","","PF00931","PTHR23155 PTHR23155:SF563",""
"19165","Manes.10G133689","","","metabolic process; hexosyltransferase activity",NA,"(1 of 9) PTHR11926//PTHR11926:SF118 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED","GO:0008152 GO:0016758","","","","PTHR11926 PTHR11926:SF118",""
"19166","Manes.10G133692","","","metabolic process; hexosyltransferase activity",NA,"(1 of 9) PTHR11926//PTHR11926:SF118 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED","GO:0008152 GO:0016758","","","PF00201","PTHR11926 PTHR11926:SF118","UDP-glucosyl transferase 88A1"
"19167","Manes.10G133695","","","",NA,"(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","","","","","PTHR23155 PTHR23155:SF563",""
"19168","Manes.10G133698","","","ADP binding",NA,"(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0043531","","","PF00931","PTHR23155 PTHR23155:SF563",""
"19169","Manes.10G133701","","","metabolic process; hexosyltransferase activity",NA,"(1 of 9) PTHR11926//PTHR11926:SF118 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED","GO:0008152 GO:0016758","","","PF00201","PTHR11926 PTHR11926:SF118","UDP-glucosyl transferase 88A1"
"19170","Manes.10G133704","","","",NA,"","","","","","",""
"19171","Manes.10G133707","","","metabolic process; hexosyltransferase activity",NA,"(1 of 9) PTHR11926//PTHR11926:SF118 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED","GO:0008152 GO:0016758","","","PF00201","PTHR11926 PTHR11926:SF118","UDP-glucosyl transferase 88A1"
"19172","Manes.10G133710","","","ADP binding",NA,"(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0043531","KOG4658","","PF00931","PTHR23155 PTHR23155:SF563",""
"19173","Manes.10G133713","","","ADP binding",NA,"(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0043531","KOG4658","","PF00931","PTHR23155 PTHR23155:SF563",""
"19174","Manes.10G133716","","","",NA,"(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","","","","","PTHR23155 PTHR23155:SF563",""
"19175","Manes.10G134200","","","protein binding; ADP binding",NA,"(1 of 23) PF00931//PF13855 - NB-ARC domain (NB-ARC) // Leucine rich repeat (LRR_8)","GO:0005515 GO:0043531","KOG4658","","PF00931 PF13855","PTHR23155 PTHR23155:SF563",""
"19176","Manes.10G134203","","","ADP binding",NA,"(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0043531","","","PF00931","PTHR23155 PTHR23155:SF563",""
"19177","Manes.10G134500","PWY-5885","wax esters biosynthesis II","long-chain-alcohol O-fatty-acyltransferase activity",NA,"(1 of 22) 2.3.1.75 - Long-chain-alcohol O-fatty-acyltransferase / Wax synthase","GO:0047196","","","PF13813","PTHR31595 PTHR31595:SF13","acyl-CoA sterol acyl transferase 1"
"19178","Manes.10G134600","PWY-5885","wax esters biosynthesis II","long-chain-alcohol O-fatty-acyltransferase activity",NA,"(1 of 22) 2.3.1.75 - Long-chain-alcohol O-fatty-acyltransferase / Wax synthase","GO:0047196","","","PF13813","PTHR31595 PTHR31595:SF13","acyl-CoA sterol acyl transferase 1"
"19179","Manes.10G134700","","","protein kinase activity; protein tyrosine kinase activity; protein binding; ATP binding; protein phosphorylation; recognition of pollen",NA,"(1 of 28) PF00069//PF00954//PF01453 - Protein kinase domain (Pkinase) // S-locus glycoprotein domain (S_locus_glycop) // D-mannose binding lectin (B_lectin)","GO:0004672 GO:0004713 GO:0005515 GO:0005524 GO:0006468 GO:0048544","KOG1187","","PF00069 PF00954 PF01453","PTHR27002 PTHR27002:SF136",""
"19180","Manes.10G134900","","","protein kinase activity; protein tyrosine kinase activity; protein binding; ATP binding; protein phosphorylation",NA,"(1 of 61) PF00069//PF08263//PF13855 - Protein kinase domain (Pkinase) // Leucine rich repeat N-terminal domain (LRRNT_2) // Leucine rich repeat (LRR_8)","GO:0004672 GO:0004713 GO:0005515 GO:0005524 GO:0006468","KOG1187","","PF00069 PF08263 PF13855","PTHR27000 PTHR27000:SF114",""
"19181","Manes.10G134903","","","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation",NA,"(1 of 24) PF00069//PF08263 - Protein kinase domain (Pkinase) // Leucine rich repeat N-terminal domain (LRRNT_2)","GO:0004672 GO:0004713 GO:0005524 GO:0006468","KOG1187","","PF00069 PF08263","PTHR27000 PTHR27000:SF114",""
"19182","Manes.10G135000","","","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation",NA,"(1 of 1569) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase","GO:0004672 GO:0004713 GO:0005524 GO:0006468","KOG1187","","PF07714","PTHR27001 PTHR27001:SF213","Protein kinase superfamily protein"
"19183","Manes.10G135100","","","protein binding",NA,"(1 of 2) K14005 - protein transport protein SEC31 (SEC31)","GO:0005515","","K14005","PF12931","PTHR13923 PTHR13923:SF11","transducin family protein / WD-40 repeat family protein"
"19184","Manes.10G135200","","","metabolic process; methyltransferase activity",NA,"(1 of 5) 3.4.24.71 - Endothelin-converting enzyme 1 / ECE-1","GO:0008152 GO:0008168","KOG1271","","PF08241","PTHR12176 PTHR12176:SF14","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"
"19185","Manes.10G135300","PWY-3481; PWY-3462","superpathway of L-phenylalanine and L-tyrosine biosynthesis; L-phenylalanine biosynthesis II","prephenate dehydratase activity; L-phenylalanine biosynthetic process",NA,"(1 of 8) 4.2.1.91 - Arogenate dehydratase / Carboxycyclohexadienyl dehydratase","GO:0004664 GO:0009094","KOG2797","","PF00800","PTHR21022 PTHR21022:SF5",""
"19186","Manes.10G135400","","","DNA binding; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; protein dimerization activity",NA,"(1 of 2) PTHR11945//PTHR11945:SF237 - MADS BOX PROTEIN // SUBFAMILY NOT NAMED","GO:0003677 GO:0003700 GO:0005634 GO:0006355 GO:0046983","KOG0014","","PF00319 PF01486","PTHR11945 PTHR11945:SF237","AGAMOUS-like 15"
"19187","Manes.10G135500","","","",NA,"(1 of 38) PF03087 - Arabidopsis protein of unknown function (DUF241)","","","","PF03087","PTHR31509 PTHR31509:SF13",""
"19188","Manes.10G135600","","","serine-type carboxypeptidase activity; proteolysis",NA,"(1 of 1) PTHR11802:SF66 - SERINE CARBOXYPEPTIDASE-LIKE 36-RELATED","GO:0004185 GO:0006508","","K16297","PF00450","PTHR11802 PTHR11802:SF66","serine carboxypeptidase-like 40"
"19189","Manes.10G135700","","","ADP binding",NA,"(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0043531","KOG4658","","PF00931","PTHR23155 PTHR23155:SF563",""
"19190","Manes.10G135900","","","protein binding; ADP binding",NA,"(1 of 23) PF00931//PF13855 - NB-ARC domain (NB-ARC) // Leucine rich repeat (LRR_8)","GO:0005515 GO:0043531","KOG4658","","PF00931 PF13855","PTHR23155 PTHR23155:SF563",""
