Abbreviation,Best-hit-arabi-defline,class,colors,degree.layout,Description,gene_id,gene_metabolite,GO,GODescription,KO,KOG,locusName,name,Panther,Pathways,Pathways_Desc,Pfam,selected,shared name
,fumarase 1,carb,red,162,(1 of 3) 4.2.1.2 - Fumarate hydratase / Fumarase,Manes.03G058700.v8.1,gene,GO:0004333 GO:0006099 GO:0006106 GO:0016829 GO:0045239,fumarate hydratase activity; tricarboxylic acid cycle; fumarate metabolic process; lyase activity; tricarboxylic acid cycle heteromeric enzyme complex,K01679,,,Manes.03G058700,PTHR11444 PTHR11444:SF1,PWY-5464; PWY-5690; PWY-561,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation",PF00206 PF10415,FALSE,Manes.03G058700
,"Dihydrolipoamide acetyltransferase, long form protein",carb,darkred,100,(1 of 2) PTHR23151//PTHR23151:SF59 - DIHYDROLIPOAMIDE ACETYL/SUCCINYL-TRANSFERASE-RELATED // SUBFAMILY NOT NAMED,Manes.04G141800.v8.1,gene,GO:0004742 GO:0006090 GO:0008152 GO:0016746 GO:0045254,dihydrolipoyllysine-residue acetyltransferase activity; pyruvate metabolic process; metabolic process; acyltransferase activity; pyruvate dehydrogenase complex,K00627,,,Manes.04G141800,PTHR23151 PTHR23151:SF59,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF00198 PF00364 PF02817,FALSE,Manes.04G141800
,"Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent",carb,darkred,55,(1 of 2) 5.4.2.11//5.4.2.12 - Phosphoglycerate mutase (2;3-diphosphoglycerate-dependent) / Phosphoglyceromutase // Phosphoglycerate mutase (2;3-diphosphoglycerate-independent) / Phosphoglyceromutase,Manes.08G166700.v8.1,gene,GO:0003824 GO:0004619 GO:0005737 GO:0006007 GO:0030145 GO:0046872,catalytic activity; phosphoglycerate mutase activity; cytoplasm; glucose catabolic process; manganese ion binding; metal ion binding,K15633,,,Manes.08G166700,PTHR31637 PTHR31637:SF3,PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF01676 PF06415,FALSE,Manes.08G166700
,Enolase,carb,darkred,63,(1 of 2) PTHR11902//PTHR11902:SF19 - ENOLASE // SUBFAMILY NOT NAMED,Manes.09G060608.v8.1,gene,GO:0000015 GO:0000287 GO:0004634 GO:0006096,phosphopyruvate hydratase complex; magnesium ion binding; phosphopyruvate hydratase activity; glycolytic process,K01689,,,Manes.09G060608,PTHR11902 PTHR11902:SF19,PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00113 PF03952,FALSE,Manes.09G060608
,"Succinyl-CoA ligase, alpha subunit",carb,darkred,50,(1 of 2) K01899 - succinyl-CoA synthetase alpha subunit (LSC1),Manes.11G102600.v8.1,gene,GO:0003824 GO:0008152 GO:0048037,catalytic activity; metabolic process,K01899,,,Manes.11G102600,PTHR11117 PTHR11117:SF9,PWY-5464; PWY-5690,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi)",PF00549 PF02629,FALSE,Manes.11G102600
,phosphoglycerate kinase,carb,lightgreen,119,(1 of 2) PTHR11406//PTHR11406:SF9 - PHOSPHOGLYCERATE KINASE // PHOSPHOGLYCERATE KINASE,Manes.14G008900.v8.1,gene,GO:0004618 GO:0006096,phosphoglycerate kinase activity; glycolytic process,K00927,,,Manes.14G008900,PTHR11406 PTHR11406:SF9,PWY66-399; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00162,FALSE,Manes.14G008900
,Aldolase superfamily protein,carb,yellow,40,(1 of 2) PTHR11627//PTHR11627:SF8 - FRUCTOSE-BISPHOSPHATE ALDOLASE // FRUCTOSE-BISPHOSPHATE ALDOLASE 3; CHLOROPLASTIC-RELATED,Manes.14G108900.v8.1,gene,GO:0004332 GO:0006096,fructose-bisphosphate aldolase activity; glycolytic process,K01623,,,Manes.14G108900,PTHR11627 PTHR11627:SF8,PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00274,FALSE,Manes.14G108900
HMG Co-A S,hydroxymethylglutaryl-CoA synthase / HMG-CoA synthase / 3-hydroxy-3-methylglutaryl coenzyme A synthase,carot,blue,72,(1 of 2) 2.3.3.10 - Hydroxymethylglutaryl-CoA synthase / Hydroxymethylglutaryl coenzyme alpha-condensing enzyme,Manes.01G069000.v8.1,gene,GO:0004421 GO:0008299,hydroxymethylglutaryl-CoA synthase activity; isoprenoid biosynthetic process,K01641,,,Manes.01G069000,PTHR11877 PTHR11877:SF20,PWY-922; PWY-5910,mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),PF01154 PF08540,TRUE,Manes.01G069000
,,carb,blue,81,(1 of 5) K00025 - malate dehydrogenase (MDH1),Manes.01G270900.v8.1,gene,GO:0006108 GO:0016491 GO:0016615 GO:0016616 GO:0019752 GO:0030060 GO:0055114,"malate metabolic process; oxidoreductase activity; malate dehydrogenase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity",K00025,,,Manes.01G270900,PTHR23382 PTHR23382:SF7,PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561,"gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation",PF00056 PF02866,FALSE,Manes.01G270900
HMG-CoA R,,carot,blue,86,(1 of 5) 1.1.1.34 - Hydroxymethylglutaryl-CoA reductase (NADPH) / HMG-CoA reductase,Manes.02G116900.v8.1,gene,GO:0004420 GO:0008299 GO:0015936 GO:0016021 GO:0050661 GO:0050662 GO:0055114,hydroxymethylglutaryl-CoA reductase (NADPH) activity; isoprenoid biosynthetic process; coenzyme A metabolic process; NADP binding,K00021,,,Manes.02G116900,PTHR10572 PTHR10572:SF9,PWY-922; PWY-5910,mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),PF00368,TRUE,Manes.02G116900
,sucrose synthase 4,carb,black,81,(1 of 2) PTHR12526//PTHR12526:SF391 - GLYCOSYLTRANSFERASE // SUCROSE SYNTHASE 1-RELATED,Manes.03G044400.v8.1,gene,GO:0005985 GO:0016157,sucrose metabolic process; sucrose synthase activity,K00695,,,Manes.03G044400,PTHR12526 PTHR12526:SF391,PWY-3801,sucrose degradation II (sucrose synthase),PF00534 PF00862,FALSE,Manes.03G044400
,fructose-bisphosphate aldolase 2,carb,blue,88,(1 of 3) PTHR11627:SF15 - FRUCTOSE-BISPHOSPHATE ALDOLASE 2; CHLOROPLASTIC-RELATED,Manes.04G083800.v8.1,gene,GO:0004332 GO:0006096,fructose-bisphosphate aldolase activity; glycolytic process,K01623,,,Manes.04G083800,PTHR11627 PTHR11627:SF15,PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00274,FALSE,Manes.04G083800
,,carb,blue,100,(1 of 1) PTHR11817//PTHR11817:SF29 - PYRUVATE KINASE // SUBFAMILY NOT NAMED,Manes.09G007300.v8.1,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,K00873,KOG2323,,Manes.09G007300,PTHR11817 PTHR11817:SF29,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00224 PF02887,FALSE,Manes.09G007300
,GroES-like zinc-binding dehydrogenase family protein,carb,brown,134,(1 of 2) 1.1.1.1//1.1.1.284//1.2.1.1 - Alcohol dehydrogenase / Aldehyde reductase // S-(hydroxymethyl)glutathione dehydrogenase / NAD-linked formaldehyde dehydrogenase // Transferred entry: 1.1.1.284 and 4.4.1.22,Manes.12G039100.v8.1,gene,GO:0006069 GO:0008270 GO:0016491 GO:0051903 GO:0055114,zinc ion binding; oxidoreductase activity; S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity,K00121,,,Manes.12G039100,PTHR11695 PTHR11695:SF269,PWY-5486; PWY-6333; PWY-6802; PWY-1801; PWY66-21; PWY66-389,pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; formaldehyde oxidation II (glutathione-dependent); ethanol degradation II; phytol degradation,PF00107 PF08240,FALSE,Manes.12G039100
,,carb,turquoise,119,(1 of 1) PF08323//PF16760 - Starch synthase catalytic domain (Glyco_transf_5) // Starch/carbohydrate-binding module (family 53) (CBM53),Manes.17G038908.v8.1,gene,GO:2001070,starch binding,,,,Manes.17G038908,PTHR12526 PTHR12526:SF341,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF08323 PF16760,FALSE,Manes.17G038908
,Glycosyl hydrolases family 32 protein,carb,grey,9,(1 of 2) PTHR31953//PTHR31953:SF17 - FAMILY NOT NAMED // ACID BETA-FRUCTOFURANOSIDASE 3; VACUOLAR-RELATED,Manes.01G076500.v8.1,gene,GO:0004553 GO:0004564 GO:0004575 GO:0005975,"hydrolase activity, hydrolyzing O-glycosyl compounds; beta-fructofuranosidase activity; sucrose alpha-glucosidase activity; carbohydrate metabolic process",K01193,,,Manes.01G076500,PTHR31953 PTHR31953:SF17,PWY66-373; PWY-621,sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase),PF00251 PF08244 PF11837,FALSE,Manes.01G076500
,Glycosyl hydrolases family 32 protein,carb,salmon,18,(1 of 2) PTHR31953//PTHR31953:SF17 - FAMILY NOT NAMED // ACID BETA-FRUCTOFURANOSIDASE 3; VACUOLAR-RELATED,Manes.02G035900.v8.1,gene,GO:0004553 GO:0004564 GO:0004575 GO:0005975,"hydrolase activity, hydrolyzing O-glycosyl compounds; beta-fructofuranosidase activity; sucrose alpha-glucosidase activity; carbohydrate metabolic process",K01193,,,Manes.02G035900,PTHR31953 PTHR31953:SF17,PWY66-373; PWY-621,sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase),PF00251 PF08244 PF11837,FALSE,Manes.02G035900
,alcohol dehydrogenase 1,carb,cyan,39,(1 of 3) K00001//K18857 - alcohol dehydrogenase (E1.1.1.1; adh) // alcohol dehydrogenase class-P (ADH1),Manes.01G083600.v8.1,gene,GO:0008270 GO:0016491 GO:0055114,zinc ion binding; oxidoreductase activity,K00001 K18857,,,Manes.01G083600,PTHR11695 PTHR11695:SF432,PWY-5486; PWY-6333; PWY-6802; PWY66-21; PWY66-389,pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; ethanol degradation II; phytol degradation,PF00107 PF08240,FALSE,Manes.01G083600
,UDP-glucose pyrophosphorylase 2,carb,darkred,31,(1 of 3) K00963 - UTP--glucose-1-phosphate uridylyltransferase (UGP2; galU; galF),Manes.01G123000.v8.1,gene,GO:0003983 GO:0006011 GO:0008152 GO:0070569,UTP:glucose-1-phosphate uridylyltransferase activity; UDP-glucose metabolic process; metabolic process; uridylyltransferase activity,K00963,,,Manes.01G123000,PTHR11952 PTHR11952:SF13,PWY-3801; PWY-6527; SUCSYN-PWY; PWY-7238; PWY-7343,sucrose degradation II (sucrose synthase); stachyose degradation; sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis,PF01704,FALSE,Manes.01G123000
,pfkB-like carbohydrate kinase family protein,carb,cyan,45,(1 of 1) PTHR10584//PTHR10584:SF192//PTHR10584:SF200 - SUGAR KINASE // FRUCTOKINASE 1 // SUBFAMILY NOT NAMED,Manes.06G141400.v8.1,gene,GO:0004747 GO:0006014,ribokinase activity; D-ribose metabolic process,K00847,KOG2855,,Manes.06G141400,PTHR10584 PTHR10584:SF192,PWY-4101; PWY-3801; PWY-621,D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase),PF00294,FALSE,Manes.06G141400
,glyceraldehyde-3-phosphate dehydrogenase C2,carb,grey,57,(1 of 1) PTHR10836//PTHR10836:SF44//PTHR10836:SF59 - GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE // SUBFAMILY NOT NAMED // GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE GAPC1; CYTOSOLIC,Manes.12G015500.v8.1,gene,GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114,"glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding",K00134,KOG0657,,Manes.12G015500,PTHR10836 PTHR10836:SF59,PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00044 PF02800,FALSE,Manes.12G015500
,galacturonic acid kinase,carb,blue,43,(1 of 1) 2.7.1.44 - Galacturonokinase,Manes.15G099200.v8.1,gene,GO:0004335 GO:0005524 GO:0005737 GO:0006012 GO:0008152 GO:0016301 GO:0016773 GO:0046835,"galactokinase activity; ATP binding; cytoplasm; galactose metabolic process; metabolic process; kinase activity; phosphotransferase activity, alcohol group as acceptor; carbohydrate phosphorylation",K18677,KOG0631,,Manes.15G099200,PTHR10457 PTHR10457:SF11,PWY-4,UDP-D-galacturonate biosynthesis II (from D-galacturonate),PF00288 PF08544 PF10509,FALSE,Manes.15G099200
,alcohol dehydrogenase 1,carb,cyan,48,(1 of 3) PTHR11695//PTHR11695:SF576 - ALCOHOL DEHYDROGENASE RELATED // ALCOHOL DEHYDROGENASE CLASS-P,Manes.18G087401.v8.1,gene,GO:0008270 GO:0016491 GO:0055114,zinc ion binding; oxidoreductase activity,K18857,,,Manes.18G087401,PTHR11695 PTHR11695:SF576,PWY-5486; PWY-6333; PWY-6802; PWY66-21; PWY66-389,pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; ethanol degradation II; phytol degradation,PF00107 PF08240,FALSE,Manes.18G087401
,cytosolic enolase,carb,green,86,(1 of 1) PTHR11902//PTHR11902:SF13 - ENOLASE // CYTOSOLIC ENOLASE 3,Manes.01G165700.v8.1,gene,GO:0000015 GO:0000287 GO:0004634 GO:0006096,phosphopyruvate hydratase complex; magnesium ion binding; phosphopyruvate hydratase activity; glycolytic process,K01689,,,Manes.01G165700,PTHR11902 PTHR11902:SF13,PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00113 PF03952,FALSE,Manes.01G165700
,,carb,blue,53,(1 of 1) PTHR22572//PTHR22572:SF112 - SUGAR-1-PHOSPHATE GUANYL TRANSFERASE // SUBFAMILY NOT NAMED,Manes.01G236700.v8.1,gene,GO:0005978 GO:0008878 GO:0009058 GO:0016779,glycogen biosynthetic process; glucose-1-phosphate adenylyltransferase activity; biosynthetic process; nucleotidyltransferase activity,K00975,KOG1322,,Manes.01G236700,PTHR22572 PTHR22572:SF112,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF00483,FALSE,Manes.01G236700
,pyruvate dehydrogenase E1 alpha,carb,turquoise,84,(1 of 2) PTHR11516:SF25 - PYRUVATE DEHYDROGENASE E1 COMPONENT SUBUNIT ALPHA-3; CHLOROPLASTIC,Manes.01G239900.v8.1,gene,GO:0004739 GO:0006086 GO:0008152 GO:0016624 GO:0043231,"pyruvate dehydrogenase (acetyl-transferring) activity; acetyl-CoA biosynthetic process from pyruvate; metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor; intracellular membrane-bounded organelle",K00161,,,Manes.01G239900,PTHR11516 PTHR11516:SF25,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF00676,FALSE,Manes.01G239900
,GroES-like zinc-binding dehydrogenase family protein,carb,salmon,86,(1 of 1) PTHR11695//PTHR11695:SF449 - ALCOHOL DEHYDROGENASE RELATED // ALCOHOL DEHYDROGENASE-LIKE 6,Manes.02G226001.v8.1,gene,GO:0008270 GO:0016491 GO:0055114,zinc ion binding; oxidoreductase activity,K00001,,,Manes.02G226001,PTHR11695 PTHR11695:SF449,PWY-5486; PWY-6333; PWY-6802; PWY66-21; PWY66-389,pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; ethanol degradation II; phytol degradation,PF00107 PF08240,FALSE,Manes.02G226001
,Lactate/malate dehydrogenase family protein,carb,turquoise,64,(1 of 6) K00026 - malate dehydrogenase (MDH2),Manes.03G103200.v8.1,gene,GO:0003854 GO:0006108 GO:0006694 GO:0016616 GO:0019752 GO:0030060 GO:0055114,"3-beta-hydroxy-delta5-steroid dehydrogenase (NAD+) activity; malate metabolic process; steroid biosynthetic process; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity",K00026,,,Manes.03G103200,PTHR11540,PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561,"gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation",PF01073 PF02866,FALSE,Manes.03G103200
,beta-amylase 1,carb,blue,78,(1 of 7) K01177 - beta-amylase (E3.2.1.2),Manes.03G155800.v8.1,gene,GO:0000272 GO:0016161,polysaccharide catabolic process; beta-amylase activity,K01177,,,Manes.03G155800,PTHR31352 PTHR31352:SF13,PWY-6724,starch degradation II,PF01373,FALSE,Manes.03G155800
,sucrose synthase 2,carb,turquoise,81,(1 of 2) PTHR12526//PTHR12526:SF348 - GLYCOSYLTRANSFERASE // SUCROSE SYNTHASE 2,Manes.03G198900.v8.1,gene,GO:0005985 GO:0016157,sucrose metabolic process; sucrose synthase activity,K00695,,,Manes.03G198900,PTHR12526 PTHR12526:SF348,PWY-3801,sucrose degradation II (sucrose synthase),PF00534 PF00862,FALSE,Manes.03G198900
,pfkB-like carbohydrate kinase family protein,carb,black,72,(1 of 2) PTHR10584:SF168 - F14I3.3 PROTEIN-RELATED,Manes.04G043700.v8.1,gene,GO:0004747 GO:0006014,ribokinase activity; D-ribose metabolic process,K00847,KOG2855,,Manes.04G043700,PTHR10584 PTHR10584:SF168,PWY-4101; PWY-3801; PWY-621,D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase),PF00294,FALSE,Manes.04G043700
,,carb,turquoise,72,(1 of 6) K00844 - hexokinase (HK),Manes.04G134700.v8.1,gene,GO:0001678 GO:0004396 GO:0005524 GO:0005536 GO:0005975 GO:0016773 GO:0046835,"intracellular glucose homeostasis; hexokinase activity; ATP binding; D-glucose binding; carbohydrate metabolic process; phosphotransferase activity, alcohol group as acceptor; carbohydrate phosphorylation",K00844,,,Manes.04G134700,PTHR19443 PTHR19443:SF26,PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY,sucrose degradation III (sucrose invertase); sucrose biosynthesis II; glycolysis III (from glucose); glucose and glucose-1-phosphate degradation; homolactic fermentation,PF00349 PF03727,FALSE,Manes.04G134700
,"catalytics;carbohydrate kinases;phosphoglucan, water dikinases",carb,darkgrey,55,(1 of 1) K15535 - phosphoglucan; water dikinase (PWD),Manes.05G194300.v8.1,gene,GO:0005524 GO:0016301 GO:0016310 GO:2001070,ATP binding; kinase activity; phosphorylation; starch binding,K15535,,,Manes.05G194300,PTHR22931 PTHR22931:SF2,PWY-6724,starch degradation II,PF00686 PF01326,FALSE,Manes.05G194300
BCH2,beta-carotene hydroxylase 2,carot,turquoise,61,(1 of 3) 1.14.13.129 - Beta-carotene 3-hydroxylase / Beta-carotene 3;3'-monooxygenase,Manes.06G152200.v8.1,gene,GO:0005506 GO:0006633 GO:0016491 GO:0055114,iron ion binding; fatty acid biosynthetic process; oxidoreductase activity,K15746,,,Manes.06G152200,PTHR31899 PTHR31899:SF1,PWY-5944; CAROTENOID-PWY,zeaxanthin biosynthesis; superpathway of carotenoid biosynthesis,PF04116,TRUE,Manes.06G152200
MevPPDC,GHMP kinase family protein,carot,turquoise,40,(1 of 2) 4.1.1.33 - Diphosphomevalonate decarboxylase / Mevalonate pyrophosphate decarboxylase,Manes.07G087500.v8.1,gene,GO:0004163 GO:0005524 GO:0005829 GO:0008299 GO:0016831 GO:0019287,"diphosphomevalonate decarboxylase activity; ATP binding; cytosol; isoprenoid biosynthetic process; carboxy-lyase activity; isopentenyl diphosphate biosynthetic process, mevalonate pathway",K01597,,,Manes.07G087500,PTHR10977 PTHR10977:SF3,PWY-922; PWY-5910,mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),PF00288,TRUE,Manes.07G087500
,alpha/beta-Hydrolases superfamily protein,carb,green,117,(1 of 3) PTHR10992//PTHR10992:SF740 - ALPHA/BETA HYDROLASE FOLD-CONTAINING PROTEIN // ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN-RELATED,Manes.09G056200.v8.1,gene,,,,KOG1454,,Manes.09G056200,PTHR10992 PTHR10992:SF740,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF12697,FALSE,Manes.09G056200
,ADP glucose pyrophosphorylase  1,carb,black,48,(1 of 2) PTHR22572:SF101 - GLUCOSE-1-PHOSPHATE ADENYLYLTRANSFERASE SMALL SUBUNIT; CHLOROPLASTIC,Manes.12G067900.v8.1,gene,GO:0005978 GO:0008878 GO:0009058 GO:0016779,glycogen biosynthetic process; glucose-1-phosphate adenylyltransferase activity; biosynthetic process; nucleotidyltransferase activity,K00975,KOG1322,,Manes.12G067900,PTHR22572 PTHR22572:SF101,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF00483,FALSE,Manes.12G067900
LCYB,Lycopene beta/epsilon cyclase protein,carot,blue,66,(1 of 2) 5.5.1.19 - Lycopene beta-cyclase,Manes.12G071600.v8.1,gene,,"carotenoid biosynthetic process; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",,,,Manes.12G071600,PTHR32098 PTHR32098:SF5,CAROTENOID-PWY; PWY-5947; PWY-5943,superpathway of carotenoid biosynthesis; lutein biosynthesis; &beta;-carotene biosynthesis,,TRUE,Manes.12G071600
,ATP citrate lyase (ACL) family protein,carb,brown,59,(1 of 2) K01900 - succinyl-CoA synthetase beta subunit (LSC2),Manes.13G037000.v8.1,gene,GO:0003824 GO:0005524 GO:0008152 GO:0046872,catalytic activity; ATP binding; metabolic process; metal ion binding,K01900,,,Manes.13G037000,PTHR11815 PTHR11815:SF1,PWY-5464; PWY-5690,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi)",PF00549 PF08442,FALSE,Manes.13G037000
,,carb,blue,109,(1 of 3) 4.1.1.32//4.1.1.49 - Phosphoenolpyruvate carboxykinase (GTP) / Phosphopyruvate carboxylase // Phosphoenolpyruvate carboxykinase (ATP) / Phosphopyruvate carboxylase,Manes.13G105000.v8.1,gene,GO:0004612 GO:0005524 GO:0006094,phosphoenolpyruvate carboxykinase (ATP) activity; ATP binding; gluconeogenesis,K01610,,,Manes.13G105000,PTHR30031 PTHR30031:SF4,PWY66-399; PWY-7117; GLUCONEO-PWY; PWY-561,"gluconeogenesis III; C4 photosynthetic carbon assimilation cycle, PEPCK type; gluconeogenesis I; superpathway of glyoxylate cycle and fatty acid degradation",PF01293,FALSE,Manes.13G105000
MO,,carot,black,61,(1 of 6) PTHR13789//PTHR13789:SF234 - MONOOXYGENASE // SUBFAMILY NOT NAMED,Manes.14G118900.v8.1,gene,GO:0016117 GO:0016705,"carotenoid biosynthetic process; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",,KOG2614,,Manes.14G118900,PTHR13789 PTHR13789:SF234,,,PF05834,TRUE,Manes.14G118900
